"imgPays","Pays","Ville","NumEntry","Nombre étudiants erasmus accueillis par an"
"https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg","Hungary","Budapest","165","1,595"
"N/A","United-Kingdom","Salford","109","231"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Padua","74","609"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Perugia","34","437"
"https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg","Germany","Stuttgart","176","411"
"https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg","France","Rennes","116","615"
"N/A","United-Kingdom","London","192","2,261"
"https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg","France","Reims","125","240"
"https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg","Austria","Graz","80","609"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Modena","92","226"
"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg","Netherlands","Maastricht","30","517"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Malaga","103","589"
"N/A","United-Kingdom","Leeds","70","502"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Parma","84","226"
"https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg","Lithuania","Kaunas","20","311"
"https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg","Germany","Bremen","163","392"
"https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg","Belgium","Leuven","160","1,167"
"N/A","United-Kingdom","Cork","174","540"
"https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg","Portugal","Lisbon","131","2,758"
"N/A","United-Kingdom","Coventry","75","569"
"https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg","Sweden","Umea","112","421"
"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg","Netherlands","Gröningen","33","835"
"https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg","Lithuania","Vilnius","44","751"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Genoa","71","490"
"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg","Netherlands","Wageningen","24","225"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Alicante","73","862"
"https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg","Germany","Saarbrücken","38","248"
"https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg","Sweden","Gothenburg","168","1,002"
"https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg","Germany","Cologne","88","560"
"N/A","Czech Republic","Ostrava","15","274"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Milan","162","2,127"
"https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg","France","Nice","164","298"
"https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg","Germany","Tubingen","85","321"
"https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg","Finland","Helsinki","187","1,396"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Venice","152","297"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Naples","113","416"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Valencia","130","3,707"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Oviedo","9","471"
"N/A","United-Kingdom","Liverpool","56","289"
"https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg","Slovakia","Bratislava","89","454"
"N/A","United-Kingdom","Birmingham","86","742"
"https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg","France","Angers","91","337"
"https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg","France","Montpellier","142","999"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Valladolid","5","696"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Sienna","31","455"
"https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg","Germany","Freiburg","81","441"
