Civilité;Nom;Prénom;Mandat;Circonscription;Département;Candidat-e parrainé-e;Date de publication
Mme;PAJAK;Annie;Maire;Chaintrix-Bierges;Marne;ARTHAUD Nathalie;01/03/2017
M;PAPERIN;Jean-Marie;Maire délégué-e;Val-de-Meuse;Haute-Marne;ARTHAUD Nathalie;01/03/2017
M;PARIS;Alain;Maire;Avanne-Aveney;Doubs;ARTHAUD Nathalie;01/03/2017
Mme;PASCAULT CHARTIER;Martine;Maire;Cessy-les-Bois;Nièvre;ARTHAUD Nathalie;01/03/2017
M;PERANTONI;Jacques;Maire;Euvezin;Meurthe-et-Moselle;ARTHAUD Nathalie;01/03/2017
M;PERDRIEL;Daniel;Maire délégué-e;Mesnil-en-Ouche;Eure;ARTHAUD Nathalie;01/03/2017
Mme;PEREIRA;Véronique;Maire;Le Cloître-Saint-Thégonnec;Finistère;ARTHAUD Nathalie;01/03/2017
Mme;PERRIER;Corinne;Maire;Nomécourt;Haute-Marne;ARTHAUD Nathalie;01/03/2017
Mme;PETIGNY;Nadine;Maire;Roy-Boissy;Oise;ARTHAUD Nathalie;01/03/2017
M;PETIT;Denis;Maire;Dommartin-la-Chaussée;Meurthe-et-Moselle;ARTHAUD Nathalie;01/03/2017
M;PEUFFIER;Régis;Maire;Saint-Siméon;Eure;ARTHAUD Nathalie;01/03/2017
M;PFENNINGER;Jean-Pierre;Maire;Carayac;Lot;ARTHAUD Nathalie;01/03/2017
M;PHILIPPON;Guy;Maire;Clarac;Hautes-Pyrénées;ARTHAUD Nathalie;01/03/2017
M;PIERRARD;Alexandre;Maire;Prignac-en-Médoc;Gironde;ARTHAUD Nathalie;01/03/2017
M;PINTON;Gérard;Maire;Saint-Jouin-de-Blavou;Orne;ARTHAUD Nathalie;01/03/2017
M;PIQUET;Stéphane;Maire;La Bouëxière;Ille-et-Vilaine;ARTHAUD Nathalie;01/03/2017
M;PIRLOT;Pierre;Maire;Cuncy-lès-Varzy;Nièvre;ARTHAUD Nathalie;01/03/2017
Mme;PIROUE;Béatrice;Maire;Juvaincourt;Vosges;ARTHAUD Nathalie;01/03/2017
M;PLANCKE;Dominique;Maire;Monchy-Cayeux;Pas-de-Calais;ARTHAUD Nathalie;01/03/2017
M;PLURIEL;Daniel;Maire;Neuvelle-lès-Voisey;Haute-Marne;ARTHAUD Nathalie;01/03/2017
Mme;PODEVIN;Nadine;Maire;Guivry;Aisne;ARTHAUD Nathalie;01/03/2017
M;POINEAU;Stéphane;Maire;Saint-Christoly-Médoc;Gironde;ARTHAUD Nathalie;01/03/2017
M;POIREL;Bernard;Maire;Ognes;Marne;ARTHAUD Nathalie;01/03/2017
M;PORTIER;Bernard;Maire;Grandchamp;Ardennes;ARTHAUD Nathalie;01/03/2017
Mme;POUILLEY;Odile;Maire;Saint-Valbert;Haute-Saône;ARTHAUD Nathalie;01/03/2017
M;POYDESSUS;Philippe;Maire;Bussunarits-Sarrasquette;Pyrénées-Atlantiques;ARTHAUD Nathalie;01/03/2017
M;PRAT;Marcel;Maire;Ploumilliau;Côtes-d'Armor;ARTHAUD Nathalie;01/03/2017
M;RAVERDY;Daniel;Maire délégué-e;Longuenée-en-Anjou;Maine-et-Loire;ARTHAUD Nathalie;01/03/2017
M;RAYMOND;André;Maire;Palhers;Lozère;ARTHAUD Nathalie;01/03/2017
M;REICHERT;Bernard;Maire;Thonville;Moselle;ARTHAUD Nathalie;01/03/2017
M;RENAUX;Thierry;Maire;Condé-lès-Autry;Ardennes;ARTHAUD Nathalie;01/03/2017
M;RICORDEAU;Alain;Maire;Séailles;Gers;ARTHAUD Nathalie;01/03/2017
M;ROBLET;Jean-Paul;Maire;Aubinges;Cher;ARTHAUD Nathalie;01/03/2017
M;ROHMER;Pascal;Maire;Vasperviller;Moselle;ARTHAUD Nathalie;01/03/2017
M;RORET;Pascal;Maire délégué-e;Val-de-Meuse;Haute-Marne;ARTHAUD Nathalie;01/03/2017
M;RUIZ;Albert;Maire;Goncourt;Haute-Marne;ARTHAUD Nathalie;01/03/2017
Mme;RYBUS;Annick;Maire;Ajoux;Ardèche;ARTHAUD Nathalie;01/03/2017
Mme;SAINTOUT;Michelle;Maire;Saint-Estèphe;Gironde;ARTHAUD Nathalie;01/03/2017
M;SALAUN;Joël;Maire;Manneville-la-Goupil;Seine-Maritime;ARTHAUD Nathalie;01/03/2017
M;SALLE-LAGARDE;Frédéric;Maire;Moussac;Gard;ARTHAUD Nathalie;01/03/2017
M;SARREY;Daniel;Maire;Ecuelle;Haute-Saône;ARTHAUD Nathalie;01/03/2017
M;SAVARIT;Noël;Maire;Longchamp-sous-Châtenois;Vosges;ARTHAUD Nathalie;01/03/2017
M;SCHNECKENBURGER;Jean-Claude;Maire;Berentzwiller;Haut-Rhin;ARTHAUD Nathalie;01/03/2017
M;SENAUX;Fabien;Maire;Pommera;Pas-de-Calais;ARTHAUD Nathalie;01/03/2017
Mme;SERAIS;Joëlle;Maire;Saint-Clair-de-Halouze;Orne;ARTHAUD Nathalie;01/03/2017
M;SEYS;Christian;Maire;Plichancourt;Marne;ARTHAUD Nathalie;01/03/2017
M;SUDRE;Patrick;Maire;Castillon-de-Saint-Martory;Haute-Garonne;ARTHAUD Nathalie;01/03/2017
M;TANGUY;Frédéric;Maire;Maysel;Oise;ARTHAUD Nathalie;01/03/2017
Mme;TETART;Marie-Françoise;Maire;Foncquevillers;Pas-de-Calais;ARTHAUD Nathalie;01/03/2017
M;THEUREL;Alain;Maire;Le Moutherot;Doubs;ARTHAUD Nathalie;01/03/2017
M;THEVENOT;Jean-claude;Maire;Bâgé-le-Châtel;Ain;ARTHAUD Nathalie;01/03/2017
M;TOLOMIO;Jean-Bernard;Maire;Cesseras;Hérault;ARTHAUD Nathalie;01/03/2017
M;TRUDET;Hugues;Maire;Larnod;Doubs;ARTHAUD Nathalie;01/03/2017
M;TURCK;Gilbert;Maire;Chailly-lès-Ennery;Moselle;ARTHAUD Nathalie;01/03/2017
M;URIER;Francis;Maire;Rouy-le-Grand;Somme;ARTHAUD Nathalie;01/03/2017
Mme;VACHAUD;Edith;Maire;Ruffec;Indre;ARTHAUD Nathalie;01/03/2017
M;VAN DEN HENDE;David;Maire;Le Thuel;Aisne;ARTHAUD Nathalie;01/03/2017
M;VILLANI;Jean;Maire;Courmont;Haute-Saône;ARTHAUD Nathalie;01/03/2017
M;VOLLE;Gérard;Maire;Brauvilliers;Meuse;ARTHAUD Nathalie;01/03/2017
M;WELELE;Patrice;Maire;Morval;Pas-de-Calais;ARTHAUD Nathalie;01/03/2017
M;ZAGO;Dimitri;Maire;Saint-Géraud;Lot-et-Garonne;ARTHAUD Nathalie;01/03/2017
M;ZAPATA;Antoine;Maire;Bize;Haute-Marne;ARTHAUD Nathalie;01/03/2017
M;ARNAUD;Daniel;Maire;Tersanne;Drôme;ASSELINEAU François;01/03/2017
M;AUGEREAU;Nicolas;Maire;Fatines;Sarthe;ASSELINEAU François;01/03/2017
M;AUVRAY;Bruno;Maire;Le Grais;Orne;ASSELINEAU François;01/03/2017
M;AYACHE;Serge;Maire;Fouillouse;Hautes-Alpes;ASSELINEAU François;01/03/2017
M;BARRIER;Pascal;Maire;Marcigny-sous-Thil;Côte-d'Or;ASSELINEAU François;01/03/2017
M;BEHAREL;Pascal;Maire;Rosay-sur-Lieure;Eure;ASSELINEAU François;01/03/2017
M;BENNEZON;Vincent;Maire;Courville;Marne;ASSELINEAU François;01/03/2017
M;BERGE;Yves;Maire;Saint-Mard;Meurthe-et-Moselle;ASSELINEAU François;01/03/2017
M;BLANGERO;Gilbert;Maire;Saint-Pardon-de-Conques;Gironde;ASSELINEAU François;01/03/2017
M;BORDAS;Micaël;Maire;Saint-Martin-d'Août;Drôme;ASSELINEAU François;01/03/2017
M;BOREL;Louis-Jean;Maire;Glandage;Drôme;ASSELINEAU François;01/03/2017
M;CHAREYRE;Eric;Maire;Vaunaveys-la-Rochette;Drôme;ASSELINEAU François;01/03/2017
M;CHARLET;Pierre;Maire;Coolus;Marne;ASSELINEAU François;01/03/2017
M;CHRISTOLHOMME;François;Maire;Birieux;Ain;ASSELINEAU François;01/03/2017
M;COUTEAU;Marc;Maire;Vauxrezis;Aisne;ASSELINEAU François;01/03/2017
M;DARQUES;Jérôme;Maire;Morbecque;Nord;ASSELINEAU François;01/03/2017
M;DELABASLE;Stanislas;Maire;Montreuil-la-Cambe;Orne;ASSELINEAU François;01/03/2017
M;DELNOTT;François;Maire;Saint-Denis-le-Thiboult;Seine-Maritime;ASSELINEAU François;01/03/2017
M;DESBARATS;Jean-Marc;Maire;Lamazère;Gers;ASSELINEAU François;01/03/2017
M;DESLANDES;Rémy;Maire;Gouvets;Manche;ASSELINEAU François;01/03/2017
M;DROUET;Dominique;Maire;Maisoncelles;Sarthe;ASSELINEAU François;01/03/2017
M;DRUET;Pascal;Maire;Verneuil-sur-Serre;Aisne;ASSELINEAU François;01/03/2017
M;DUPIOL;Jean-Claude;Maire;Cudos;Gironde;ASSELINEAU François;01/03/2017
Mme;ENCELIN;Elyane;Maire délégué-e;Longny les Villages;Orne;ASSELINEAU François;01/03/2017
Mme;FAYOLLE;Claudette;Maire;Bougé-Chambalud;Isère;ASSELINEAU François;01/03/2017
M;GEORGES;Christian;Maire délégué-e;Provenchères-et-Colroy;Vosges;ASSELINEAU François;01/03/2017
M;GIRARDEAU;Daniel;Maire;Mirebeau;Vienne;ASSELINEAU François;01/03/2017
M;GOURIO;Alain;Maire;Mardilly;Orne;ASSELINEAU François;01/03/2017
M;GUILLAUME;Lionel;Maire;Merri;Orne;ASSELINEAU François;01/03/2017
M;GUYON;Jean-Pierre;Maire;Maisoncelles-en-Gâtinais;Seine-et-Marne;ASSELINEAU François;01/03/2017
Mme;HELBERT;Marie-Claude;Maire;Ruillé-Froid-Fonds;Mayenne;ASSELINEAU François;01/03/2017
M;HERVIEUX;Francis;Maire délégué-e;Souleuvre en Bocage;Calvados;ASSELINEAU François;01/03/2017
M;JOVENIAUX;Didier;Maire;Quérénaing;Nord;ASSELINEAU François;01/03/2017
M;LACHAUME;Jean-Paul;Maire;Santilly;Eure-et-Loir;ASSELINEAU François;01/03/2017
M;LAFAURY;Yves;Maire;Epinouze;Drôme;ASSELINEAU François;01/03/2017
M;LAMBROT;Jean-Serge;Maire;Lados;Gironde;ASSELINEAU François;01/03/2017
M;LE GOFF;Jean-Yves;Maire;Scaër;Finistère;ASSELINEAU François;01/03/2017
M;LEBOUVIER;Jean;Maire;Saint-Amand-Villages;Manche;ASSELINEAU François;01/03/2017
Mme;LECOURTOIS;Geneviève;Maire délégué-e;Saint-Jean-d'Elle;Manche;ASSELINEAU François;01/03/2017
M;LEDUN;Frédéric;Maire;Dévillac;Lot-et-Garonne;ASSELINEAU François;01/03/2017
M;LEROY;Thierry;Maire délégué-e;Vexin-sur-Epte;Eure;ASSELINEAU François;01/03/2017
M;LEVOYET;Bernard;Maire;Vieilmoulin;Côte-d'Or;ASSELINEAU François;01/03/2017
M;MARCELLIN;Bruno;Maire;Margival;Aisne;ASSELINEAU François;01/03/2017
M;MIGUEL;Roger;Maire;Congy;Marne;ASSELINEAU François;01/03/2017
M;MOCQUERY;Régis;Maire;Roncenay;Aube;ASSELINEAU François;01/03/2017
M;MOLAS;Gervais;Maire;Saint-Léonard;Gers;ASSELINEAU François;01/03/2017
Mme;NAVEAU;Martine;Maire;Villiers-au-Bouin;Indre-et-Loire;ASSELINEAU François;01/03/2017
M;NIAY;Gabriel;Maire;Châtillon-sur-Oise;Aisne;ASSELINEAU François;01/03/2017
M;ORTHOLAN;Jean-Jacques;Maire;L'Isle-de-Noé;Gers;ASSELINEAU François;01/03/2017
M;PETIT;Bernard;Maire;Ichy;Seine-et-Marne;ASSELINEAU François;01/03/2017
M;POCHOLLE;Pascal;Maire;Marenla;Pas-de-Calais;ASSELINEAU François;01/03/2017
M;ROBERT;Frederic;Maire;Monêtier-Allemont;Hautes-Alpes;ASSELINEAU François;01/03/2017
M;ROSE;Dominique;Maire délégué-e;Torigny-les-Villes;Manche;ASSELINEAU François;01/03/2017
M;ROUILLARD;Pierre;Maire;Saint-Agnan-sur-Sarthe;Orne;ASSELINEAU François;01/03/2017
M;SAMSON;Vincent;Maire;Tresson;Sarthe;ASSELINEAU François;01/03/2017
M;SANSON;Albert;Maire;Chenois;Moselle;ASSELINEAU François;01/03/2017
