"Encryption","Developer","First released","Licensing","Maintained?"
"R-Crypto","?","?","?","?","?"
"SafeGuard Easy","?","?","?","?","?"
"SafeGuard Enterprise","?","?","?","?","?"
"SafeGuard PrivateDisk","?","?","?","?","?"
"SafeHouse Professional","Yes","No","No","No","No"
"Scramdisk","No","Yes","No","No","No"
"Scramdisk 4 Linux","No","Yes","No","Yes","Yes"
"SecuBox","Yes","No","No","No","No"
"FinallySecure Enterprise (SECUDE)","?","?","?","?","?"
"SecureDoc","?","?","?","?","?"
"Sentry 2020","?","?","?","?","?"
"softraid / RAID C","?","?","?","?","Yes"
"svnd / vnconfig","?","?","?","?","?"
"Symantec Endpoint Encryption","No","No","Yes","No","No"
"TrueCrypt","Legacy support","No","No","Legacy support","Yes"
"USBCrypt","No","Yes","No","No","Yes"
"Name","CBC w/ predictable IVs","CBC w/ secret IVs","CBC w/ random per-sector keys","LRW","XTS"
