{{ref|4|4}},"<sup class=""reference plainlinks nourlexpansion"" id=""ref_4"">[[#endnote_4|4]]</sup>"
{{yes| Slotfocus}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""| Slotfocus"
"{{nts|3,744}}","<span style=""display:none"" class=""sortkey"">7003374400000000000♠</span>3,744"
{{partial|Pybliographer [[XML]]}},"style=""background:#FFB;vertical-align:middle;text-align:center; "" class=""table-partial""|Pybliographer [[XML]]"
{{SGP}},"<span class=""flagicon"">[[File:Flag of Singapore.svg|23x15px|border |alt=|link=]]&nbsp;</span>[[Singapore|Singapore]]"
"{{yes|Custom Script, [[PowerShell]]}}","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Custom Script, [[PowerShell]]"
{{nts|0.088}},"<span style=""display:none"" class=""sortkey"">6998880000000000000♠</span>0.088"
{{Latest stable software release/Foo IRC}},[[:Template:Latest stable software release/Foo IRC]]
{{flag|Mauritania}},"<span class=""flagicon"">[[File:Flag of Mauritania.svg|23x15px|border |alt=|link=]]&nbsp;</span>[[Mauritania|Mauritania]]"
"{{Free|Commercial; (but free/no-cost perpetual license when used ""for the purpose of developing, testing, prototyping and demonstrating your applications"")}}","style=""background: #9FF; color: black; vertical-align: middle; text-align: center; "" class=""free table-free""|Commercial; (but free/no-cost perpetual license when used ""for the purpose of developing, testing, prototyping and demonstrating your applications"")"
{{no|3 GB}},"style=""background:#F99;vertical-align:middle;text-align:center;"" class=""table-no""|3 GB"
{{CZE}},"<span class=""flagicon"">[[File:Flag of the Czech Republic.svg|23x15px|border |alt=|link=]]&nbsp;</span>[[Czech Republic|Czech Republic]]"
{{nowrap|17 Nov 2008}},"<span class=""nowrap"">17 Nov 2008</span>"
{{tag|not|open}},"<code class=""nowrap"" style="""">&lt;not&gt;</code>"
{{BRA}},"<span class=""flagicon"">[[File:Flag of Brazil.svg|23x15px|border |alt=|link=]]&nbsp;</span>[[Brazil|Brazil]]"
"{{yes|Yes (<tt>~/.cshrc</tt>, <tt>~/.login</tt>, <tt>~/.logout</tt>)}}","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Yes (<tt>~/.cshrc</tt>, <tt>~/.login</tt>, <tt>~/.logout</tt>)"
{{sm|fabvlāre}},"<span class=""smallcaps"" style=""font-variant:small-caps;"">fabvlāre</span>"
{{yes|optional}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|optional"
"{{nts|121,500}}","<span style=""display:none"" class=""sortkey"">7005121500000000000♠</span>121,500"
{{tag|matrixrow|open}},"<code class=""nowrap"" style="""">&lt;matrixrow&gt;</code>"
{{dts|Aug 2006}},"<span style=""display:none; speak:none"" class=""sortkey"">02006-08-01-0000</span><span style=""white-space:nowrap;"">Aug 2006</span>"
{{nts|11000}},"<span style=""display:none"" class=""sortkey"">7004110000000000000♠</span>11,000"
{{dts|2014|10|2}},"<span style=""display:none; speak:none"" class=""sortkey"">02014-10-02-0000</span><span style=""white-space:nowrap;"">October 2, 2014</span>"
{{Hs|Sao Tome and Principe}},"<span class=""sortkey"">Sao Tome and Principe</span>"
{{nts|65.2}},"<span style=""display:none"" class=""sortkey"">7001652000000000000♠</span>65.2"
{{nts|4.0}},"<span style=""display:none"" class=""sortkey"">7000400000000000000♠</span>4.0"
{{nts|4863}},"<span style=""display:none"" class=""sortkey"">7003486300000000000♠</span>4,863"
"{{Free|[[MIT License|MIT]], [[GNU General Public License|GNU GPL]], [[GNU Lesser General Public License|GNU LGPL]], [[Lucent Public License|LPL]]}}","style=""background: #9FF; color: black; vertical-align: middle; text-align: center; "" class=""free table-free""|[[MIT License|MIT]], [[GNU General Public License|GNU GPL]], [[GNU Lesser General Public License|GNU LGPL]], [[Lucent Public License|LPL]]"
{{yes|128}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|128"
{{ROU}},"<span class=""flagicon"">[[File:Flag of Romania.svg|23x15px|border |alt=|link=]]&nbsp;</span>[[Romania|Romania]]"
{{yes|[[Internet Explorer Mobile|IE Mobile]]}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|[[Internet Explorer Mobile|IE Mobile]]"
{{nowrap|12 Sep 2011}},"<span class=""nowrap"">12 Sep 2011</span>"
{{dts|2008|07|23}},"<span style=""display:none; speak:none"" class=""sortkey"">02008-07-23-0000</span><span style=""white-space:nowrap;"">July 23, 2008</span>"
{{Yes | Radeon HD 4200}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""| Radeon HD 4200"
{{some|via mboot.c32 module[http://www.syslinux.org/wiki/index.php/Mboot.c32]}},"style=""background: #FFD; color: black; vertical-align: middle; text-align: center; "" class=""partial table-partial""|via mboot.c32 module[http://www.syslinux.org/wiki/index.php/Mboot.c32]"
"{{yes2|None, small, large}}","style=""background:#bfd; color:black; vertical-align:middle; text-align:center; "" class=""table-yes2"" |None, small, large"
{{some|Last 4 digits only}},"style=""background: #FFD; color: black; vertical-align: middle; text-align: center; "" class=""partial table-partial""|Last 4 digits only"
{{ref label|l|l|l}},"<sup class=""reference"" id=""ref_ll"">[[#endnote_ll|[l]]]</sup>"
{{r|group=Note|e4}},"<ref name=""e4"" group=""Note""></ref>"
"{{yes | Up to 10, each display is separate unique display to Windows}}","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""| Up to 10, each display is separate unique display to Windows"
{{nts|6150}},"<span style=""display:none"" class=""sortkey"">7003615000000000000♠</span>6,150"
{{free|BitTorrent Open Source License}},"style=""background: #9FF; color: black; vertical-align: middle; text-align: center; "" class=""free table-free""|BitTorrent Open Source License"
{{dts|Jul 2013}},"<span style=""display:none; speak:none"" class=""sortkey"">02013-07-01-0000</span><span style=""white-space:nowrap;"">Jul 2013</span>"
"{{yes|[[Filesystem permissions#Traditional Unix permissions|Traditional Unix permissions]], [[access control list]]}}","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|[[Filesystem permissions#Traditional Unix permissions|Traditional Unix permissions]], [[access control list]]"
"{{yes|[[ICO (icon image file format)|ICO]], [[Tagged Image File Format|TIFF]]}}","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|[[ICO (icon image file format)|ICO]], [[Tagged Image File Format|TIFF]]"
{{yes|32.0}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|32.0"
{{lang|ga|nuaidheacht}},"<span lang=""ga""  >nuaidheacht</span>"
{{CHN}},"<span class=""flagicon"">[[File:Flag of the People's Republic of China.svg|23x15px|border |alt=|link=]]&nbsp;</span>[[China|China]]"
{{sort|4.2|4.2}},"<span style=""display:none;"" class=""sortkey"">4.2&#32;!</span><span class=""sorttext"">4.2</span>"
{{flagicon|VGB}},"<span class=""flagicon"">[[File:Flag of the British Virgin Islands.svg|23x15px|border |alt=British Virgin Islands|link=British Virgin Islands]]</span>"
{{nts|192}},"<span style=""display:none"" class=""sortkey"">7002192000000000000♠</span>192"
{{convert|140|g}},140 grams (4.9&nbsp;oz)
{{dts|2013|05|04}},"<span style=""display:none; speak:none"" class=""sortkey"">02013-05-04-0000</span><span style=""white-space:nowrap;"">May 4, 2013</span>"
{{dts|2010-07-28}},"<span style=""display:none; speak:none"" class=""sortkey"">02010-07-28-0000</span><span style=""white-space:nowrap;"">July 28, 2010</span>"
{{Latest stable software release/WLIrc}},"2.0.1 <small>(August&nbsp;16, 2007<span class=""noprint"">&#059;&#032;7 years ago</span><span style=""display:none"">&#160;(<span class=""bday dtstart published updated"">2007-08-16</span>)</span>)</small> <small class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=Template:Latest_stable_software_release/WLIrc&action=edit &#91;±&#93;]</small>"
"{{Nonfree|Previously bundled with hardware; No longer a separate operating system, but a group of services installed atop any current version of Mac OS X; US$19.99 on the Mac App Store}}","style=""background: #F9D; color: black; vertical-align: middle; text-align: center; "" class=""nonfree table-nonfree""|Previously bundled with hardware; No longer a separate operating system, but a group of services installed atop any current version of Mac OS X; US$19.99 on the Mac App Store"
{{sort | 00.100 | Monthly}},"<span style=""display:none;"" class=""sortkey""> 00.100 &#32;!</span><span class=""sorttext""> Monthly</span>"
{{Latest stable software release/MtvIRC}},"2.3 <small>(June&nbsp;12, 2009<span class=""noprint"">&#059;&#032;5 years ago</span><span style=""display:none"">&#160;(<span class=""bday dtstart published updated"">2009-06-12</span>)</span>)</small> <small class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=Template:Latest_stable_software_release/MtvIRC&action=edit &#91;±&#93;]</small>"
"{{Yes|HTML, Text, Unix Patch}}","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|HTML, Text, Unix Patch"
{{IPA|[ɣ]}},"<span title=""Representation in the International Phonetic Alphabet (IPA)"" class=""IPA"">[ɣ]</span>"
{{flagicon|CCK}},"<span class=""flagicon"">[[File:Flag of the Cocos (Keeling) Islands.svg|23x15px|border |alt=Cocos (Keeling) Islands|link=Cocos (Keeling) Islands]]</span>"
"{{sort|0008555|8,555}}","<span style=""display:none;"" class=""sortkey"">0008555&#32;!</span><span class=""sorttext"">8,555</span>"
{{yes|UBT}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|UBT"
{{ntsh|510}},"<span style=""display:none"" class=""sortkey"">7002510000000000000♠</span>"
"{{Nonfree|Bundled with hardware and free updates given to most existing users, subject to hardware requirements}}","style=""background: #F9D; color: black; vertical-align: middle; text-align: center; "" class=""nonfree table-nonfree""|Bundled with hardware and free updates given to most existing users, subject to hardware requirements"
{{Yes | [https://resource.microstrategy.com/Support/MainSearch.aspx MicroStrategy Resource Center]}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""| [https://resource.microstrategy.com/Support/MainSearch.aspx MicroStrategy Resource Center]"
{{partial|Public partition only}},"style=""background:#FFB;vertical-align:middle;text-align:center; "" class=""table-partial""|Public partition only"
{{nts|3123}},"<span style=""display:none"" class=""sortkey"">7003312300000000000♠</span>3,123"
"{{No| can do 2, 3, or 4 file diffs, but not a 3-way diff}}","style=""background:#F99;vertical-align:middle;text-align:center;"" class=""table-no""| can do 2, 3, or 4 file diffs, but not a 3-way diff"
{{no}},"style=""background:#F99;vertical-align:middle;text-align:center;"" class=""table-no""|No"
{{yes|Yes (arbitrary <tt>fds</tt>)}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Yes (arbitrary <tt>fds</tt>)"
{{yes|HTTP.sys}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|HTTP.sys"
{{nts|130000}},"<span style=""display:none"" class=""sortkey"">7005130000000000000♠</span>130,000"
{{Yes | [http://service.sap.com/ OSS]}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""| [http://service.sap.com/ OSS]"
{{yes|[[Comma-separated values|OpenOffice-CSV]]}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|[[Comma-separated values|OpenOffice-CSV]]"
{{yes2|experimental}},"style=""background:#bfd; color:black; vertical-align:middle; text-align:center; "" class=""table-yes2"" |experimental"
{{MAC}},"<span class=""flagicon"">[[File:Flag of Macau.svg|23x15px|border |alt=|link=]]&nbsp;</span>[[Macau|Macau]]"
{{Free Trial}},[[:Template:Free Trial]]
"{{yes|Many including [[LibreOffice]], [[OpenOffice.org]], [[KOffice]], [[AbiWord]], [[Lotus Notes]] and Microsoft Office (since 2007 SP2)}}","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Many including [[LibreOffice]], [[OpenOffice.org]], [[KOffice]], [[AbiWord]], [[Lotus Notes]] and Microsoft Office (since 2007 SP2)"
{{Latest stable software release/Style Jukebox}},"1.3 <small>(October&nbsp;12, 2014<span class=""noprint"">&#059;&#032;7 months ago</span><span style=""display:none"">&#160;(<span class=""bday dtstart published updated"">2014-10-12</span>)</span>)</small> <small class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=Template:Latest_stable_software_release/Style_Jukebox&action=edit &#91;±&#93;]</small>"
{{.NET}},"<table class=""navbox"" style=""border-spacing:0""><tr><td style=""padding:2px""><table class=""nowraplinks hlist collapsible autocollapse navbox-inner"" style=""border-spacing:0;background:transparent;color:inherit""><tr><th scope=""col"" class=""navbox-title"" colspan=""2""><div class=""plainlinks hlist navbar mini""><ul><li class=""nv-view"">[[Template:.NET Framework|<span title=""View this template"" style="";;background:none transparent;border:none;"">v</span>]]</li><li class=""nv-talk"">[[Template talk:.NET Framework|<span title=""Discuss this template"" style="";;background:none transparent;border:none;"">t</span>]]</li><li class=""nv-edit"">[//en.wikipedia.org/w/index.php?title=Template:.NET_Framework&action=edit <span title=""Edit this template"" style="";;background:none transparent;border:none;"">e</span>]</li></ul></div><div style=""font-size:110%"">[[.NET Framework]]</div></th></tr><tr style=""height:2px""><td colspan=""2""></td></tr><tr><th scope=""row"" class=""navbox-group"">Architecture</th><td class=""navbox-list navbox-odd"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px""><div style=""padding:0em 0.25em"">
* [[Common Language Runtime]] (CLR)
* [[COM Interop]]
* [[Framework Class Library]] (FCL)
* [[.NET Framework version history|Version history]]
</div></td></tr><tr style=""height:2px""><td colspan=""2""></td></tr><tr><th scope=""row"" class=""navbox-group"">Components</th><td class=""navbox-list navbox-even"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px""><div style=""padding:0em 0.25em"">
* [[ADO.NET]]
** [[Entity Framework]]
* [[ASP.NET]]
** [[ASP.NET AJAX|AJAX]]
** [[ASP.NET Dynamic Data|Dynamic Data]]
** [[ASP.NET MVC Framework|MVC Framework]]
* [[ClickOnce]]
* [[Dynamic Language Runtime]]
* [[Extensible Application Markup Language]] (XAML)
* [[Language Integrated Query]] (LINQ)
* [[Managed Extensibility Framework]]
* [[Microsoft Silverlight]]
* [[Microsoft XNA]]
* [[Parallel Extensions]]
* [[Windows Communication Foundation]] (WCF)
** [[WCF Data Services]]
* [[Windows Forms]] (WinForms)
* [[Windows Identity Foundation]] (WIF)
* [[Windows Presentation Foundation]] (WPF)
* [[Windows Workflow Foundation]] (WF)
* [[.NET Remoting]]
</div></td></tr><tr style=""height:2px""><td colspan=""2""></td></tr><tr><th scope=""row"" class=""navbox-group"">Tools</th><td class=""navbox-list navbox-odd"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px""><div style=""padding:0em 0.25em"">
* [[CLR Profiler]]
* [[ILAsm]]
* [[Microsoft Roslyn]]
* [[Native Image Generator]] (NGen)
* [[XAMLPad]]
</div></td></tr><tr style=""height:2px""><td colspan=""2""></td></tr><tr><th scope=""row"" class=""navbox-group"">[[Integrated development environment|IDEs]]</th><td class=""navbox-list navbox-even"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px""><div style=""padding:0em 0.25em"">
* [[Microsoft Visual Studio|Visual Studio]]
** [[Microsoft Blend|Blend]]
** [[Microsoft Visual Studio Express|Express]]
* [[MonoDevelop]]
* [[SharpDevelop]]
</div></td></tr><tr style=""height:2px""><td colspan=""2""></td></tr><tr><th scope=""row"" class=""navbox-group"">Organizations</th><td class=""navbox-list navbox-odd"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px""><div style=""padding:0em 0.25em"">
* [[.NET Foundation]]
* [[Microsoft Corporation]]
* [[Xamarin]]
</div></td></tr><tr style=""height:2px""><td colspan=""2""></td></tr><tr><td class=""navbox-abovebelow"" colspan=""2""><div>
* [[File:Folder Hexagonal Icon.svg|Category|16x16px|link=]] [[:Category:.NET Framework|Category]]
* [[File:Symbol list class.svg|List-Class article|16x16px|link=]] [[.NET Framework version history|List]]
</div></td></tr></table></td></tr></table>"
{{yes|Import from integrated web browser}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Import from integrated web browser"
{{nts|3012.9}},"<span style=""display:none"" class=""sortkey"">7003301290000000000♠</span>3,012.9"
{{nts|315.8}},"<span style=""display:none"" class=""sortkey"">7002315800000000000♠</span>315.8"
{{yes|Provided by standard libraries}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Provided by standard libraries"
{{sm|diēs mercvrii}},"<span class=""smallcaps"" style=""font-variant:small-caps;"">diēs mercvrii</span>"
{{formatnum:85000}},"85,000"
"{{partial|Thread-safe, needs mutex hooks if PThreads or WinThreads not available, can be turned off}}","style=""background:#FFB;vertical-align:middle;text-align:center; "" class=""table-partial""|Thread-safe, needs mutex hooks if PThreads or WinThreads not available, can be turned off"
{{nts|3500}},"<span style=""display:none"" class=""sortkey"">7003350000000000000♠</span>3,500"
{{dts|2012-08-15}},"<span style=""display:none; speak:none"" class=""sortkey"">02012-08-15-0000</span><span style=""white-space:nowrap;"">August 15, 2012</span>"
{{sm|generālem}},"<span class=""smallcaps"" style=""font-variant:small-caps;"">generālem</span>"
"{{nts|11,515}}","<span style=""display:none"" class=""sortkey"">7004115150000000000♠</span>11,515"
{{flagicon|PYF}},"<span class=""flagicon"">[[File:Flag of French Polynesia.svg|23x15px|border |alt=French Polynesia|link=French Polynesia]]</span>"
{{IPA|/we̞/}},"<span title=""Representation in the International Phonetic Alphabet (IPA)"" class=""IPA"">/we̞/</span>"
{{Partial|Lowest priority}},"style=""background:#FFB;vertical-align:middle;text-align:center; "" class=""table-partial""|Lowest priority"
{{date|2005|iso}},2005
{{nts|23.1}},"<span style=""display:none"" class=""sortkey"">7001231000000000000♠</span>23.1"
{{free|[[Apache Allura]]}},"style=""background: #9FF; color: black; vertical-align: middle; text-align: center; "" class=""free table-free""|[[Apache Allura]]"
{{start date and age|2005|4|04|br=yes}},"April&nbsp;4, 2005<span class=""noprint"">&#059;<br/>10 years ago</span><span style=""display:none"">&#160;(<span class=""bday dtstart published updated"">2005-04-04</span>)</span>"
{{nts|8900}},"<span style=""display:none"" class=""sortkey"">7003890000000000000♠</span>8,900"
{{yes|Yes (via <tt>SET %''varname'':''expression''</tt> syntax)}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Yes (via <tt>SET %''varname'':''expression''</tt> syntax)"
{{nowrap|6 kB}},"<span class=""nowrap"">6 kB</span>"
{{vgrelease|PAL=28 March 2003}},"<ul style=""list-style: none none; line-height: inherit; margin: 0px;""><li><small><sup>[[PAL region|PAL]]</sup></small> 28 March 2003</li></ul>"
{{yes|15 GB}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|15 GB"
{{dts|format=dmy|2008|5}},"<span style=""display:none; speak:none"" class=""sortkey"">02008-05-01-0000</span><span style=""white-space:nowrap;"">May 2008</span>"
{{yes|[[Access control list|ACL]]}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|[[Access control list|ACL]]"
{{yes}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Yes"
{{yes|[[Microsoft Word]]}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|[[Microsoft Word]]"
"{{yes|[[ICO (icon image file format)|ICO]], [[Windows Metafile|emf]]}}","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|[[ICO (icon image file format)|ICO]], [[Windows Metafile|emf]]"
{{flagicon|TKL}},"<span class=""flagicon"">[[File:Flag of Tokelau.svg|23x15px|border |alt=Tokelau|link=Tokelau]]</span>"
{{yes|[[Microsoft Works Database]]}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|[[Microsoft Works Database]]"
"{{nts|37,229}}","<span style=""display:none"" class=""sortkey"">7004372290000000000♠</span>37,229"
{{Anchor|Khaos}},"<span id=""Khaos""></span>"
{{sort|0000516|516}},"<span style=""display:none;"" class=""sortkey"">0000516&#32;!</span><span class=""sorttext"">516</span>"
"{{lang|gd|latha, là}}","<span lang=""gd""  >latha, là</span>"
{{ref label|g|g|g}},"<sup class=""reference"" id=""ref_gg"">[[#endnote_gg|[g]]]</sup>"
{{yes|Part of KDE for Mac}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Part of KDE for Mac"
{{start date and age|2014|03|02|br=yes}},"March&nbsp;2, 2014<span class=""noprint"">&#059;<br/>15 months ago</span><span style=""display:none"">&#160;(<span class=""bday dtstart published updated"">2014-03-02</span>)</span>"
{{nts|23000}},"<span style=""display:none"" class=""sortkey"">7004230000000000000♠</span>23,000"
{{dts|2004|06|01}},"<span style=""display:none; speak:none"" class=""sortkey"">02004-06-01-0000</span><span style=""white-space:nowrap;"">June 1, 2004</span>"
{{ref|Perl's technicalities|[b]}},"<sup class=""reference plainlinks nourlexpansion"" id=""ref_Perl's technicalities"">[[#endnote_Perl's technicalities|[b]]]</sup>"
{{yes|[[#trident background-attachment|7.0]]}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|[[#trident background-attachment|7.0]]"
{{ref|string as char|[d]}},"<sup class=""reference plainlinks nourlexpansion"" id=""ref_string as char"">[[#endnote_string as char|[d]]]</sup>"
"{{no|0.5 GB (free), 10 GB (paid)}}","style=""background:#F99;vertical-align:middle;text-align:center;"" class=""table-no""|0.5 GB (free), 10 GB (paid)"
{{??}},"
"
{{Nonfree|Free expander; $29}},"style=""background: #F9D; color: black; vertical-align: middle; text-align: center; "" class=""nonfree table-nonfree""|Free expander; $29"
"{{yes|2011(JIS X 3017), 2012(ISO/IEC 30170)}}","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|2011(JIS X 3017), 2012(ISO/IEC 30170)"
{{nts|673}},"<span style=""display:none"" class=""sortkey"">7002673000000000000♠</span>673"
{{yes2|Using styles}},"style=""background:#bfd; color:black; vertical-align:middle; text-align:center; "" class=""table-yes2"" |Using styles"
{{Latest stable software release/Filzip}},"3.06 <small>(July&nbsp;19, 2006<span class=""noprint"">&#059;&#032;8 years ago</span><span style=""display:none"">&#160;(<span class=""bday dtstart published updated"">2006-07-19</span>)</span>)</small> <small class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=Template:Latest_stable_software_release/Filzip&action=edit &#91;±&#93;]</small>"
"{{nts|7,904,000}}","<span style=""display:none"" class=""sortkey"">7006790400000000000♠</span>7,904,000"
{{nts|73}},"<span style=""display:none"" class=""sortkey"">7001730000000000000♠</span>73"
{{Anchor|Infobot}},"<span id=""Infobot""></span>"
{{sort|000.26|0.26}},"<span style=""display:none;"" class=""sortkey"">000.26&#32;!</span><span class=""sorttext"">0.26</span>"
{{Nonfree| US$13.95/month}},"style=""background: #F9D; color: black; vertical-align: middle; text-align: center; "" class=""nonfree table-nonfree""| US$13.95/month"
{{Latest stable software release/MatrixSSL}},"3.7.2 <small>(April&nbsp;14, 2015<span class=""noprint"">&#059;&#032;58 days ago</span><span style=""display:none"">&#160;(<span class=""bday dtstart published updated"">2015-04-14</span>)</span> <ref>{{cite web
  |title = MatrixSSL - News
  |url = http://www.matrixssl.org/news.html
  |date = 2015-04-14
  |accessdate = 2015-04-16}}</ref>)</small> <small class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=Template:Latest_stable_software_release/MatrixSSL&action=edit &#91;±&#93;]</small>"
{{sm|pl}},"<span class=""smallcaps"" style=""font-variant:small-caps;"">pl</span>"
{{nts|249.99}},"<span style=""display:none"" class=""sortkey"">7002249990000000000♠</span>249.99"
{{IPA|[b ~ β]}},"<span title=""Representation in the International Phonetic Alphabet (IPA)"" class=""IPA"">[b ~ β]</span>"
{{Some|Calls [[NTLDR]]}},"style=""background: #FFD; color: black; vertical-align: middle; text-align: center; "" class=""partial table-partial""|Calls [[NTLDR]]"
{{yes|1.8}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|1.8"
{{yes|Yes (SYS$MANAGER:SYLOGIN.COM or user defined LOGIN.COM)}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Yes (SYS$MANAGER:SYLOGIN.COM or user defined LOGIN.COM)"
{{flagicon|SLV}},"<span class=""flagicon"">[[File:Flag of El Salvador.svg|23x15px|border |alt=El Salvador|link=El Salvador]]</span>"
{{r|group=Note|iphone}},"<ref name=""iphone"" group=""Note""></ref>"
{{yes|24}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|24"
{{small|low end}},"<small style=""font-size:85%;"">low end</small>"
"{{nts|13,657}}","<span style=""display:none"" class=""sortkey"">7004136570000000000♠</span>13,657"
{{yes|9.00 beta 1}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|9.00 beta 1"
{{lang|af|Oop vanaand}},"<span lang=""af""  >Oop vanaand</span>"
{{yes|64}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|64"
