"Name";"Feature ";"Products ";"Cells";"Empty Cells";"Ratio EmCell";"Nombre de Features Homogenes";"Ratio de Features Homogenes";"Nombre de Features Homogenes Numeriques";"Product Chartable";"Testing Score"
"1982_European_Athletics_Championships___Men_s_5000_metres_0.pcm";"2";"2";"4";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_Commonwealth_Games_2.pcm";"8";"7";"56";"0";"0.0";"7";"100.0";"3";"true";"0"
"1982_FA_Cup_Final_4.pcm";"21";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_Danish_1st_Division_0.pcm";"9";"16";"144";"0";"0.0";"8";"100.0";"7";"true";"0"
"1982_Campeonato_Argentino_de_Rugby_5.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_European_Karate_Championships_3.pcm";"2";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_in_English_football_3.pcm";"10";"24";"240";"0";"0.0";"9";"100.0";"7";"true";"0"
"1982_Commonwealth_Games_4.pcm";"8";"3";"24";"0";"0.0";"7";"100.0";"3";"true";"0"
"1982_83_Yugoslav_Second_League_0.pcm";"4";"18";"72";"0";"0.0";"1";"33.333333333333336";"0";"false";"0"
"1982_83_Toronto_Maple_Leafs_season_3.pcm";"9";"6";"54";"0";"0.0";"8";"100.0";"8";"true";"0"
"1982_Boston_Red_Sox_season_3.pcm";"2";"6";"12";"0";"0.0";"1";"100.0";"1";"false";"0"
"1982_Atlanta_Braves_season_4.pcm";"7";"4";"28";"0";"0.0";"6";"100.0";"6";"true";"0"
"1982_Alpine_Skiing_World_Cup_13.pcm";"9";"15";"135";"0";"0.0";"8";"100.0";"7";"true";"0"
"1982_Davis_Cup_World_Group_0.pcm";"4";"3";"12";"0";"0.0";"3";"100.0";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_long_jump_0.pcm";"2";"2";"4";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_European_Athletics_Championships___Women_s_800_metres_4.pcm";"5";"6";"30";"1";"3.3333333333333335";"4";"100.0";"0";"false";"0"
"1982_European_Cup_Winners__Cup_Final_3.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_Scottish_League_Cup_17.pcm";"5";"15";"75";"0";"0.0";"4";"100.0";"0";"false";"0"
"1982_European_Athletics_Championships___Women_s_100_metres_hurdles_3.pcm";"5";"8";"40";"4";"10.0";"3";"75.0";"1";"false";"0"
"1982_83_Philadelphia_Flyers_season_8.pcm";"3";"1";"3";"0";"0.0";"2";"100.0";"1";"false";"0"
"1982_83_New_York_Rangers_season_2.pcm";"7";"29";"203";"0";"0.0";"5";"83.33333333333333";"5";"true";"0"
"1982_FIFA_World_Cup_Final_1.pcm";"20";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_Argentine_Primera_Divisi_n_1.pcm";"9";"7";"63";"0";"0.0";"8";"100.0";"8";"true";"0"
"1982_83_in_Scottish_football_3.pcm";"10";"14";"140";"0";"0.0";"9";"100.0";"8";"true";"0"
"1982_83_Sheffield_Wednesday_F.C._season_0.pcm";"10";"21";"210";"0";"0.0";"9";"100.0";"7";"true";"0"
"1982_European_Judo_Championships_8.pcm";"3";"6";"18";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_83_Philadelphia_Flyers_season_5.pcm";"2";"2";"4";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_Commonwealth_Games_6.pcm";"11";"4";"44";"1";"2.272727272727273";"10";"100.0";"0";"false";"0"
"1982_83_Saudi_Premier_League_1.pcm";"4";"10";"40";"0";"0.0";"3";"100.0";"2";"true";"0"
"1982_California_Angels_season_4.pcm";"7";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_400_metres_hurdles_2.pcm";"5";"8";"40";"4";"10.0";"3";"75.0";"1";"false";"0"
"1982_European_Figure_Skating_Championships_1.pcm";"3";"30";"90";"0";"0.0";"2";"100.0";"1";"false";"0"
