"Ectaco","JetBook Color","2012","9.7","No","Triton 
Color E Ink","662†g (23.4†oz)","1200 √ó 1600","Yes","Unknown","Yes","Yes","Yes","Yes (unknown size)","up to32GB","No","Yes, OPDS, Atom","Yes"
"Elonex","621EB","2009","6","No","eInk","180†g (6.3†oz)","600 √ó 800","No","Unknown","No","No","No","1 GB","Yes","No","Yes","No"
"Icarus Reader","Icarus Excel","2012","9.7","No","eInk Pearl","530†g (19†oz)","825 √ó 1200","No","Yes","Wi-Fi","Yes","Unknown","4 GB","Yes","Yes","Unknown","Unknown"
"Icarus Reader","Icarus 8","2013","8","No","ePaper","300†g (10.5†oz)","768 √ó 1024","No","Unknown","Wi-Fi","Unknown","Yes","4 GB","Yes","Unknown","Yes","Unknown"
"Icarus Reader","Icarus Essence","2013","6","No","ePaper","220†g (7.8†oz)","600 x 800","No","Unknown","Wi-Fi","Unknown","Yes","4 GB","Yes","Unknown","Yes","Unknown"
"Icarus Reader","Icarus Sense G2","2011","6","No","eInk","220†g (7.8†oz)","600 √ó 800","Yes","Unknown","Wi-Fi","No","Yes","2 GB(1.3 GB)","Yes","Yes","Yes","Unknown"
"Iriver","Iriver Story HD","2011","6","No","eInk Pearl","207†g (7.3†oz)","768 √ó 1024","No","Yes","Wi-Fi","No","Yes","2 GB","SDHC","No","Yes","Yes"
"JinKe","Hanlin V5","2009","5","No","eInk","160†g (5.6†oz)","600 √ó 800","No","Unknown","No","Yes","Unknown","512 MB","SDHC16GB","No","Unknown","Unknown"
"Kobo Inc.","Kobo Aura","2013","6","Yes","eInk Pearl with Low-Flash Waveform","174†g (6.1†oz)","1024 √ó 758","Yes","No","Wi-Fi","No","shelves","4 GB","Yes","Yes","Yes","Yes"
"Kobo Inc.","Kobo Aura HD","2013","6.8","Yes","eInk Pearl","240†g (8.5†oz)","1080 √ó 1440","Yes","No","Wi-Fi","No","shelves","4 GB","Yes","Yes","Yes","Yes"
"Kobo Inc.","Kobo Glo","2012","6","Yes","eInk Pearl","185†g (6.5†oz)","758 √ó 1024","Yes","No","Wi-Fi","No","shelves","2 GB","Yes","Yes","Yes","Yes"
"Kobo Inc.","Kobo Mini","2012","5","No","eInk Vizplex V110","134†g (4.7†oz)","600 √ó 800","Yes","No","Wi-Fi","No","shelves","2 GB","No","Yes","Yes","Yes"
"Kobo Inc.","Kobo Touch","2011","6","No","eInk Pearl","200†g (7.1†oz)","600 √ó 800","Yes","No","Wi-Fi","No","shelves","2 GB","Yes","Yes","Yes","Yes"
"Kolporter","eClicto","2007","6","No","eInk","174†g (6.1†oz)","600 √ó 800","No","Unknown","No","No","Unknown","512 MB","SD","No","Unknown","Unknown"
"Onyx Inc.","BOOX C65 Storia","2013","6","No","eInk HD EPD","186†g (8.4†oz)","758x1024","Yes (Capacitive)","No","Wi-Fi","Yes","Yes","4 GB","Yes","Unknown","No","Yes"
"Onyx Inc.","BOOX C65 AfterGlow","2013","6","Yes","eInk HD EPD","186†g (8.4†oz)","758x1024","Yes (Capacitive)","No","Wi-Fi","Yes","Yes","4 GB","Yes","Unknown","No","Yes"
"Onyx Inc.","BOOX M92/92S Black Pearl","2011","9.7","No","eInk Pearl","520†g (18†oz)","825 √ó 1200","Stylus","Yes","Wi-Fi","Yes","Yes","4GB","Yes","Yes","No","Yes"
"Onyx Inc.","BOOX T68 Lynx","2014","6.8","Yes","eInk Pearl","236†g (8.325†oz)","1440x1080","Yes (Capacitive)","Yes","Wi-Fi, Bluetooth 4.0 Low Energy","Yes","Unknown","4GB","up to 32 GB","Yes","Yes","Unknown"
"PocketBook","PocketBook 360 Plus","2011","5","No","eInk","150†g (5.3†oz)","600 √ó 800","No","Unknown","Wi-Fi","Yes","Yes","2 GB","Yes","Yes","Yes","Unknown"
"PocketBook","PocketBook Pro 912","2011","9.7","No","eInk","565†g (20†oz)","825 √ó 1200","Yes","Unknown","Wi-Fi, Bluetooth","Yes","Yes","2 GB (1.2 GB)","Yes","Yes","Yes","Unknown"
"PocketBook","PocketBook Touch","2011","6","No","eInk Pearl","195†g (6.9†oz)","600 √ó 800","Yes","Unknown","Wi-Fi (n), Bluetooth, UMTS + GPRS","Yes","Yes","2 GB","Yes","Yes","Yes","Unknown"
"PocketBook","PocketBook Basic New","2012","6","No","eInk","180†g (6.3†oz)","600 √ó 800","No","Unknown","?","?","Yes","2 GB","up to32gb","Yes","Yes","Unknown"
"Sony","DPT-S1","2014","13.3 (A4)","No","?","?","1,600 x 1,200","?","?","?","?","?","?","?","?","Unknown","Unknown"
"TrekStor","Pyrus","2012","6","No","Digital Ink","216†g (7.6†oz)","600 √ó 800","No","dedicated, both sides","No","No","Yes","2 or 4 GB","Yes","No","Unknown","Unknown"
"TrekStor","Pyrus 2 LED","2013","6","No","eInk Pearl","205†g (7.2†oz)","600 √ó 800","Yes","Yes","No","No","Yes","2 GB","Yes","No","Unknown","Unknown"
"TrekStor","Pyrus maxi","2013","8","No","Digital Ink","309†g (10.9†oz)","768 √ó 1024","No","dedicated, both sides","No","No","Yes","4 GB","Yes","No","Yes","Unknown"
"TrekStor","Pyrus mini","2013","4.3","No","Digital Ink","111†g (3.9†oz)","600 √ó 800","No","dedicated","No","No","Yes","2 GB","Yes","No","Unknown","Unknown"
"txtr","beagle","2013","5","No","eInk","128 g (4.5†oz)","600 x 800","No","Unknown","bluetooth needed to add books.","No","No","5 books, up to 4 GB","No","No","Yes","No"
"Wexler","Flex ONE","2012","6","No","LG flex","110†g (3.9†oz)","768 x 1024","No","Yes","No","No","Yes","8 GB","No","No","No","Unknown"
"Maker","Model","Intro year","Screen size (inch)","Self-lit","Screen type","Weight","Screen pixels","Touch screen","Button for Page-turn","Wireless network","Text-to-speech","Folders","Internal storage","microSDHC","Web browser","Library DRM compatible","USB peripherals"
"Maker","Model","Intro year","End year","Screen size (inch)","Self-lit","Screen type","Weight","Screen pixels","Touch screen","Wireless network","Text-to-speech","Folders","Internal Storage","MicroSDHC","Web browser","Library DRM compatible","USB peripherals"
"Aluratek","Libre Ebook Reader Pro","2009","2014","5","No","ePaper","213†g (7.5†oz)","600 √ó 800","No","No","No","Yes","90 MB","up to 32 GB","No","Yes","No"
"Amazon.com","Kindle Paperwhite 3G","2012","2013","6","Yes","eInk Pearl","221†g (7.8†oz)","758 √ó 1024","2-Point","No","Wi-Fi,CDMA, GSM","Yes","2 GB(1.25 GB)","No","Yes","US only","No"
"Amazon.com","Kindle Paperwhite Wi-Fi","2012","2013","6","Yes","eInk Pearl","213†g (7.5†oz)","758 √ó 1024","2-Point","No","Wi-Fi","Yes","2 GB(1.25 GB)","No","Yes","US only","No"
"Amazon.com","Kindle †(4th generation)","2011","2012","6","No","eInk Pearl","170†g (6.0†oz)","600 √ó 800","No","dedicated, both sides","Wi-Fi","Yes","2 GB(1.25 GB)","No","Yes","US only","No"
"Barnes & Noble","Nook Simple Touch","2011","2013","6","No","eInk Pearl","212†g (7.5†oz)","600 √ó 800","Yes","Yes","Wi-Fi","Yes","2 GB","Yes","No","Yes","No"
"","Kindle Touch 3G","2011","2012","6","No","eInk Pearl","220†g (7.8†oz)","600 √ó 800","Yes","Wi-Fi,CDMA, GSM","Yes","Yes","4 GB(3 GB)","No","Yes","US only","No"
"","Kindle Touch","2011","2012","6","No","eInk Pearl","213†g (7.5†oz)","600 √ó 800","Yes","Wi-Fi","Yes","Yes","4 GB(3 GB)","No","Yes","US only","No"
"Amazo","Kindle 3 Wi-Fi 3G (Now Kindle Keyboard 3G)","2010","2011","6","No","eInk Pearl","247†g (8.7†oz)","600 √ó 800","No","Wi-Fi,CDMA, GSM","Yes","Yes","4 GB(3 GB)","No","Yes","US only","Yes"
"","Kindle 3 Wi-Fi (Now Kindle Keyboard)","2010","2011","6","No","eInk Pearl","241†g (8.5†oz)","600 √ó 800","No","Wi-Fi","Yes","Yes","4 GB(3 GB)","No","Yes","US only","Yes"
"","Kindle DX †1st gen white","2009","2011","9.7","No","eInk","540†g (19†oz)","824 √ó 1200","No","CDMA (USA), GSM","Yes","Yes","4 GB(3.3 GB)","No","limited","US only","No"
"","Kindle DX †4th gen graphite","2010","2012","9.7","No","eInk Pearl","535†g (18.9†oz)","824 √ó 1200","No","HSDPA/GSM","Yes","Yes","4 GB(3.3 GB)","No","limited","US only","No"
"","Kindle 2","2009","2010","6","No","eInk","289†g (10.2†oz)","600 √ó 800","No","CDMA (USA),GSM (World)","Yes","Yes","2 GB(1.4 GB)","No","limited","US only","No"
"","Kindle","2007","2009","6","No","eInk","289†g (10.2†oz)","600 √ó 800","No","CDMA","No","No","256 MB(180 MB)","SD","limited","US only","No"
"Asus","EEE Reader DR-900","2010","2010","9","No","SiPix","440†g (16†oz)","768 √ó 1024","Yes","Wi-Fi","Yes","Yes","2 GB","microSD","Yes","No","Yes"
"Barnes & Noble","Nook","2009","2011","6","No","eInk","343†g (12.1†oz)","600 √ó 800","Bottom","Wi-Fi UMTS(option)","No","(FW v1.5)","2 GB(1.3 GB)","Yes","Yes(FW v1.3)","Yes","No"
"Bookeen","Cybook Gen3","2007","?","6","No","eInk","174†g (6.1†oz)","600 √ó 800","No","Yes","No","Yes","16 MB, 512MB, 1 GB","SD","No","Yes","No"
"Bookeen","Cybook Opus","2009","?","5","No","eInk","150†g (5.3†oz)","600 √ó 800","No","No","No","Yes","1 GB","Yes","No","Yes","No"
"EnTourage","EnTourage eDGe","2010","2011","9.7","No","eInk & LCD","1,400†g (49†oz)","825 √ó 1200","Yes","Wi-Fi, Bluetooth","Yes(Pico TTS)","Yes","3 GB(10% for apps)","SD32GB","Yes","Yes","Yes"
"EnTourage","Pocket eDGe","2010","2011","6","No","eInk & LCD","700†g (25†oz)","600 √ó 800","Yes","Wi-Fi, Bluetooth","Yes(Pico TTS)","Yes","3 GB","micro SD","Yes","Yes","Unknown"
"Fnac","FnacBook","2010","2011","6","No","eInk","240†g (8.5†oz)","600 √ó 800","Yes","Wi-Fi GPRS, Edge, HSDPA","Yes","Unknown","2 GB","microSD","Yes","Yes","Unknown"
"Foxit Software","eSlick","2009","2010","6","No","eInk","180†g (6.3†oz)","600 √ó 800","No","No","No","No","512 MB","SDHC","No","Unknown","Unknown"
"Icarus Reader","Icarus Reader Go","2010","?","6","No","eInk","178†g (6.3†oz)","600 √ó 800","No","Wi-Fi, UMTS (option)","No","(FW v1.5)","2 GB(1.3 GB)","microSD","No","Yes","Unknown"
"Icarus Reader","Icarus Pocket","2012","?","6","No","eInk Pearl","214†g (7.7†oz)","800 √ó 600","No","Wi-Fi","Unknown","Yes","4 GB","SDHC 32GB","Unknown","Yes","Unknown"
"Icarus Reader","Icarus Reader Sense","2010","?","6","No","SiPix","240†g (8.5†oz)","600 √ó 800","Yes","Wi-Fi","No","Yes","2 GB(1.3 GB)","microSD","Yes","Yes","Unknown"
"iRex Technologies","Digital Reader 800","2010","2010","8.1","No","eInk","360†g (13†oz)","768 √ó 1024","Yes","No","Unknown","Yes","128 MB","SDHC","No","Yes","Unknown"
"iRex Technologies","Digital Reader 1000","2008","2010","10.2","No","eInk","700†g (25†oz)","1024 √ó 1280","Stylus","No","No","Yes","No","SD","No","Yes","Yes"
"iRex Technologies","iLiad","2006","2010","8.1","No","eInk","480†g (17†oz)","768 √ó 1024","Yes","Wi-Fi","No","Yes","64 MB","SD,CF","No","Yes","Unknown"
"Iriver","Story","2009","2011","6","No","eInk","233†g (8.2†oz)","600 √ó 800","No","No","Unknown","Unknown","2 GB","SDHC","Unknown","Yes","Unknown"
"JinKe","Hanlin V3","2007","2008","6","No","eInk","Unknown","600 √ó 800","No","No","No","Yes","384 MB","SDHC","No","Yes","No"
"JinKe","Hanlin V2","2006","2007","6","No","eInk","Unknown","600 √ó 800","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Kobo Inc.","Kobo eReader Wireless N647","2010","2011","6","No","eInk","221†g (7.8†oz)","600 √ó 800","No","Wi-Fi","No","Unknown","1 GB","SD 4GB","No","Yes","Unknown"
"Kobo Inc.","Kobo eReader N416","2010","2011","6","No","eInk","221†g (7.8†oz)","600 √ó 800","No","Bluetooth","No","Unknown","1 GB","SD","Yes","Yes","Unknown"
"Kogan.com","Kogan eBook Reader","2010","?","6","No","eInk","228†g (8.0†oz)","600 √ó 800","No","No","No","Yes","2 GB","SDHC","No","Unknown","Unknown"
"Kyobo Inc.","Kyobo E-reader Mirasol","2011","2012","5.7","No","Mirasol","294†g (10.4†oz)","768 √ó 1024","Yes","Wi-Fi","Yes","Unknown","&nbsp;style=""background: #E4E4E4;| black;| middle;| center; ""|Unknown GB","SDHC","Yes","Unknown","Yes"
"Onyx Inc.","BOOX A60/62","2009","2012","6","No","eink","298g","600 x 800","Yes","Wi-Fi","Yes","Yes","512MB","SDHC","Yes","No","Yes"
"Onyx Inc.","BOOX X60/60S","2010","2011","6","No","eInk","298†g (10.5†oz)","600 √ó 800","Yes","Wi-Fi","Yes","Yes","512MB","SDHC","Yes","No","Yes"
"Onyx Inc.","BOOX M90/M90S","2010","2011","9.7","No","eInk Pearl","275†g (9.7†oz)","600 √ó 800","Yes","Wi-Fi","Yes","Yes","2 GB","SDHC","Yes","No","Yes"
"Onyx Inc.","BOOX i62 Touch Espresso","2011","2013","6","No","eInk Pearl","238†g (8.4†oz)","600x800","Yes (IR)","Wi-Fi","Yes","Yes","4 GB","Yes","Yes","No","Yes"
"Onyx Inc.","BOOX i62ML HD Angel Glow","2012","2013","6","Yes","eInk HD","238†g (8.4†oz)","758 √ó 1024","Yes (IR)","Wi-Fi","Yes","Yes","4 GB","Yes","Yes","No","Yes"
"PocketBook","PocketBook Pro 603","2010","?","6","No","eInk","280†g (9.9†oz)","600 √ó 800","Stylus","Wi-Fi, Bluetooth, UMTS + GPRS","Yes","Yes","2 GB","Yes","Yes","Yes","Unknown"
"PocketBook","PocketBook Pro 602","2010","?","6","No","eInk","250†g (8.8†oz)","600 √ó 800","No","Wi-Fi, Bluetooth","Yes","Yes","2 GB","Yes","Yes","Yes","Unknown"
"PocketBook","PocketBook Pro 903","2010","2011","9.7","No","eInk","581†g (20.5†oz)","825 √ó 1200","Stylus","Wi-Fi, Bluetooth, UMTS + GPRS","Yes","Yes","2 GB","Yes","Yes","Yes","Unknown"
"PocketBook","PocketBook Pro 902","2010","2011","9.7","No","eInk","530†g (19†oz)","825 √ó 1200","No","Wi-Fi, Bluetooth","Yes","Yes","2 GB","Yes","Yes","Yes","Unknown"
"Samsung","Papyrus","2009","2010","5","No","eInk","184†g (6.5†oz)","600 √ó 800","Yes","No","Yes","Unknown","512M","No","Unknown","Yes","Unknown"
"Samsung","E6","2010","2011","6","No","eInk","315†g (11.1†oz)","600 √ó 800","Stylus","Wi-Fi, Bluetooth","Yes","Yes","2 GB(1.4 GB)","microSD","limited","Yes","Unknown"
"Sony","Sony Reader Pocket Edition PRS-300SC","2011","?","5","No","eInk Vizplex","220†g (7.8†oz)","600 √ó 800","No","No","No","Unknown","512 MB(350 MB)","No","No","Yes","Unknown"
"Sony","Sony Reader Pocket Edition PRS-350","2010","2011","5","No","eInk Pearl","155†g (5.5†oz)","600 √ó 800","Yes","No","No","collections","2 GB(1.4 GB)","No","No","Yes","Unknown"
"Sony","Sony Reader Touch Edition PRS-650","2010","2011","6","No","eInk","215†g (7.6†oz)","600 √ó 800","Yes","No","No","collections","2 GB(1.4 GB)","SDHC,MSPro DUO","No","Yes","Unknown"
"Sony","Sony Reader Daily Edition PRS-900","2009","2011","7.1","No","eInk","283†g (10.0†oz)","600 √ó 1024","Yes","No","No","Unknown","2 GB","SDHC, MSPro DUO","Unknown","Yes","Unknown"
"Sony","Sony Reader Touch Edition PRS-600","2009","2010","6","No","eInk","286†g (10.1†oz)","600 √ó 800","Yes","No","No","Unknown","512 MB (380 MB)","SDHC, MSPro Duo","No","Yes","Unknown"
"Sony","Sony Reader Pocket Edition PRS-300","2009","2010","5","No","eInk","220†g (7.8†oz)","600 √ó 800","No","No","No","Unknown","512 MB(480 MB)","No","No","Yes","Unknown"
"Sony","Sony Reader PRS-700","2008","2009","6","No","eInk","283†g (10.0†oz)","600 √ó 800","Yes","Unknown","Unknown","Unknown","512 MB","SDHC","Unknown","Yes","Unknown"
"Sony","Reader PRS-505","2008","2009","6","No","eInk","250†g (8.8†oz)","600 √ó 800","No","No","No","Unknown","256 MB,(192 MB)","SD, MS","No","Yes","Unknown"
"Sony","Sony Reader PRS-500","2006","2008","6","No","eInk","250†g (8.8†oz)","600 √ó 800","No","No","No","No","92 MB","SD","No","Yes","Unknown"
"Sony","Reader PRS-T1","2011","2012","6","No","eInk Pearl","168†g (5.9†oz)","600 √ó 800","Yes (IR)","Wi-Fi","No","Yes","2 GB(1.3 GB)","MicroSD","Yes","Yes","Unknown"
"Sony","Reader Wi-Fi PRS-T2","2012","6","No","eInk Pearl","167†g (5.9†oz)","600 √ó 800","2-Point","Yes","Wi-Fi","No","collections","2 GB(1.3 GB)","Yes","Yes","Yes","Unknown"
"Maker","Model","Intro year","End year","Screen size (inch)","Self-lit","Screen type","Weight","Screen pixels","Touch screen","Wireless network","Text-to-speech","Folders","microSDHC","Card reader slot","Web browser","Library DRM compatible","USB peripherals"
"Maker","Model","Intro year","Screen size (inch)","Screen type","Weight","Screen pixels","Screen shades","Hours reading","Operating system","Touch screen","Wireless network","Text-to-speech","Integrated dictionary","Directory organization","Internal storage","Card reader slot","Replaceable battery","Web browser","Library DRM compatible","USB peripherals"
"Aluratek","Libre Touch eBook Reader","2011","7","LCD","199†g (7.0†oz)","480 √ó 800","?","8","Android 1.5","Yes","Yes, Wi-Fi","No","No","?","4 GB","microSD","No","Yes","Yes","No"
"Aluratek","Libre Air eBook Reader","2011","5","LCD","170†g (6.0†oz)","480 √ó 640","16 grey scale","20","Linux + X11","No","Yes, Wi-Fi","No","No","?","512 MB","microSD","No","No","Yes","No"
"Aluratek","Libre Color eBook Reader","2010","7","LCD","245†g (8.6†oz)","480 √ó 800","?","24","MicroC/OS-II","No","No","No","No","?","2 GB","SD","No","No","Yes","No"
"Aluratek","Libre Pro eBook Reader","2009","5","LCD","190†g (6.7†oz)","480 √ó 640","16 grey scale","24","Linux + X11","No","No","No","No","?","256 MB","SD","No","No","Yes","No"
"Amazon.com","Kindle Fire","2011","7","LCD(IPS)","413†g (14.6†oz)","600 √ó 1024","24-bit color","8","Android 2.3","Yes","Wi-Fi","No","Yes","?","8 GB
(6 GB)","No","No","Yes","Yes (US only)","No"
"Apple Inc.","iPad (4th generation)","2012","9.7","LCD(IPS)","652†g (23.0†oz), 662†g (23.4†oz)","2048 √ó 1536","24-bit? color","10","iOS","Yes","Wi-Fi, 3G","Yes","iBooks & system-wide dictionary with iOS 5","Yes","16-64 GB","SD via camera connection kit","No","Yes","?","Yes"
"Apple Inc.","iPad (3rd generation)","2012","9.7","LCD(IPS)","652†g (23.0†oz), 662†g (23.4†oz)","2048 √ó 1536","24-bit? color","10","iOS","Yes","Wi-Fi, 3G","Yes","iBooks & system-wide dictionary with iOS 5","Yes","16-64 GB","SD via camera connection kit","No","Yes","?","Yes"
"Apple Inc.","iPad 2","2011","9.7","LCD(IPS)","613†g (21.6†oz)","768 √ó 1024","24-bit? color","10","iOS","Yes","Wi-Fi, 3G","Yes","iBooks & system-wide dictionary with iOS 5","Yes","16-64 GB","SD via camera connection kit","No","Yes","?","Yes"
"Apple Inc.","iPad","2010","9.7","LCD","601†g (21.2†oz)","768 √ó 1024","24-bit? color","9","iOS","Yes","Wi-Fi","Yes","iBooks & system-wide dictionary with iOS 5","Yes","16-64 GB","SD via Camera Connection Kit","No","Yes","?","Yes"
"Barnes & Noble","Nook Simple Touch with GlowLight","2012","6","Yes","eInk Pearl","212†g (7.5†oz)","600 √ó 800","Yes","Yes","Wi-Fi","No","Yes","2 GB","Yes","No","Yes","No","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Barnes & Noble","Nook Color","2010","7","LCD","450†g (16†oz)","600 √ó 1024","16M","8","Android 2.2","Yes","Wi-Fi 802.11b/g/n","for B&N Kids Books","Yes","Yes","2 GB, 1 GB available","microSDHC","No","Yes","Yes","?"
"Ectaco","jetBook","2008","5","LCD","212†g (7.5†oz)","480 √ó 640","16","20","Linux","No","No","No","Yes","Yes","112 MB","SDHC","No","No","Yes","No"
"Elonex","705EB","2010","7","LCD","190†g (6.7†oz)","480 √ó 800","256?","8","?","No","No","?","No","?","4 GB","microSDHC","?","No","?","No"
"Notion Ink","Adam","2011","10.1","Pixel Qi","725†g (25.6†oz)","600 √ó 1024","?","15","Android","Yes","Wi-Fi, 3G","Yes","?","?","1GB DDR2 RAM
1GB SLC","microSD","Yes","Yes","?","?"
"PocketBook","PocketBook IQ 701","2010","7","LCD","516†g (18.2†oz)","600 √ó 800","262K color","8","Android 2.0","Yes","Wi-Fi","Yes","Yes","Yes","2 GB","SDHC","Yes","Yes","Yes","No"
"TrekStor","eBook Reader 3.0","2011","7","LCD","275†g (9.7†oz)","800 √ó 480","?","8","MicroC/OS-II","No","No","No","No","Yes","2 GB","microSDHC","No","No","Yes","No"
"Zzbook","eReader HD","2010","7","TFT-LCD","300†g (11†oz)","800 √ó 480","16","8","Linux","No","No","?","?","?","2 GB","microSD","?","?","?","?"
"Maker","Model","Intro year","Screen size (inch)","Screen type","Weight","Screen pixels","Screen shades","Hours reading","Operating system","Touch screen","Wireless network","Text-to-speech","Integrated dictionary","Directory organization","Internal storage","Card reader slot","Replaceable battery","Web browser","Library DRM compatible","USB peripherals"
"Maker","Model","Number","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","Images","Images","Images","Images","Images","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video"
"Maker","Model","Number",".azw",".cbr",".cbz",".chm",".djvu",".doc",".docx",".epub",".fb2",".html",".lit",".mobi",".opf",".pdb",".pdf",".pdg",".rtf",".tcr",".tr3",".txt",".bmp",".gif",".jpg",".png",".tiff",".avi",".flv",".m4v",".mov",".mp3",".mpeg1/2/4",".wmv"
"Aluratek","Liber Touch","9","No","No","No","No","No","No","Unknown","Yes","Partial (non-DRM only)","No","No","No","No","No","Yes","No","Partial (non-DRM only)","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Partial (non-DRM only)","Partial (non-DRM only)","Partial (non-DRM only)","Partial (non-DRM only)","Yes","Partial (non-DRM only)","No"
"Aluratek","Libre Air","11","No","No","No","No","No","No","Unknown","Yes","Partial (non-DRM only","Yes","No","Partial (non-DRM only)","No","No","Yes","No","Partial (non-DRM only)","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","No","No","No","No","Yes","No","No"
"Aluratek","Libre Color eBook Reader","10","No","No","No","No","No","No","Unknown","Yes","Partial (non-DRM only)","Yes","No","No","No","No","Yes","No","Partial (non-DRM only)","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Partial (non-DRM only)","Partial (non-DRM only)","Partial (non-DRM only)","Partial (non-DRM only)","Yes","Partial (non-DRM only)","Partial (non-DRM only)"
"Aluratek","Libre Pro","8","No","No","No","No","No","No","Unknown","Yes","Partial (non-DRM only)","No","No","Partial (non-DRM only)","No","No","Yes","No","No","No","No","Yes","Unknown","Yes","Yes","No","Unknown","No","No","No","No","Yes","No","No"
"Amazon.com","Kindle 3 Wi-Fi & 3G","12+","Yes","Unknown","Yes","Unknown","No","Yes","Unknown","No","No","Yes","No","Partial (no DRM)","No","No","Yes","No","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Amazon.com","Kindle DX","12","Yes","Unknown","Unknown","Unknown","No","Unknown","Unknown","No","No","Yes","No","Partial (no DRM)","No","No","Yes","No","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Amazon.com","Kindle 2","12","Yes","Unknown","No","Unknown","No","Unknown","Unknown","No","No","Yes","No","Partial (no DRM)","No","No","Yes","No","Yes","Unknown","Yes","Yes","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Amazon.com","Kindle","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","No","Yes","No","Partial (no DRM)","No","No","No","No","Yes","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Asus","Eee Reader DR900","Unknown","No","No","Yes","No","No","No","Unknown","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
