"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Pixel 
pipelines","Shader model
(vertex/pixel)","API support","API support","API support","Memory bandwidth 
(GB/s)","DVMT 
(MB)","Hardware acceleration","Hardware acceleration","Hardware acceleration"
"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Pixel 
pipelines","Shader model
(vertex/pixel)","DirectX","OpenGL","OpenCL","Memory bandwidth 
(GB/s)","DVMT 
(MB)","MPEG-2","VC-1","AVC"
"GMA 4500MHD","2008","Mobile","GL40","Cantiga","2A42
2A43","400","10","4.0","10.0","2.0 on Windows
2.1 on Linux","","12.8","1700","Full","Full","Full"
"GMA 4500MHD","2008","Mobile","GS40","Cantiga","2A42
2A43","400","10","4.0","10.0","2.0 on Windows
2.1 on Linux","","12.8","1700","Full","Full","Full"
"GMA 4500MHD","2008","Mobile","GM45","Cantiga","2A42
2A43","533","10","4.0","10.0","2.0 on Windows
2.1 on Linux","","12.8 (DDR2)
17 (DDR3)","1700","Full","Full","Full"
"GMA 4500MHD","2008","Mobile","GS45","Cantiga","2A42
2A43","533","10","4.0","10.0","2.0 on Windows
2.1 on Linux","","12.8 (DDR2)
17 (DDR3)","1700","Full","Full","Full"
"Graphics","Launch","Market","CPU","Code name","Device id.","Core clock (MHz)","Execution 
units","Shader 
model","API support","API support","API support","Memory bandwidth
(GB/s)","DVMT 
(MB)","Hardware acceleration","Hardware acceleration"
"Graphics","Launch","Market","CPU","Code name","Device id.","Core clock (MHz)","Execution 
units","Shader 
model","DirectX","OpenGL","OpenCL","Memory bandwidth
(GB/s)","DVMT 
(MB)","CVT HD","QSV"
"HD Graphics","2010","Desktop","Celeron G1101
Pentium G69xx","Ironlake (Clarkdale)","0042","533","12","4.0","10.0","2.1","No","17","1720","No","No"
"HD Graphics","2010","Desktop","Core i3-5x0
Core i5-6x0
Core i5-655K","Ironlake (Clarkdale)","0042","733","12","4.0","10.0","2.1","No","21.3","1720","Yes","No"
"HD Graphics","2010","Desktop","Core i5-661","Ironlake (Clarkdale)","0042","900","12","4.0","10.0","2.1","No","21.3","1720","Yes","No"
"HD Graphics","2010","Mobile","Celeron U3xxx
Pentium U5xxx","Ironlake (Arrandale)","0046","166–500","12","4.0","10.0","2.1","No","12.8","1720","No","No"
"HD Graphics","2010","Mobile","Core i3-3x0UM
Core i5-5x0UM
Core i7-6x0UE
Core i7-6x0UM","Ironlake (Arrandale)","0046","166–500","12","4.0","10.0","2.1","No","12.8","1720","Yes","No"
"HD Graphics","2010","Mobile","Core i7-620LE
Core i7-6x0LM","Ironlake (Arrandale)","0046","266–566","12","4.0","10.0","2.1","No","17.1","1720","Yes","No"
"HD Graphics","2010","Mobile","Celeron P4xxx
Pentium P6xxx","Ironlake (Arrandale)","0046","500–667","12","4.0","10.0","2.1","No","17.1","1720","No","No"
"HD Graphics","2010","Mobile","Core i3-330E
Core i3-3x0M","Ironlake (Arrandale)","0046","500–667","12","4.0","10.0","2.1","No","17.1","1720","Yes","No"
"HD Graphics","2010","Mobile","Core i5-4x0M
Core i5-520E
Core i5-5x0M
Core i7-610E
Core i7-6x0M","Ironlake (Arrandale)","0046","500–766","12","4.0","10.0","2.1","No","17.1","1720","Yes","No"
"Graphics","Launch","Market","CPU","Code name","Device id.","Core clock (MHz)","Execution 
units","Shader 
model","API support","API support","API support","Memory bandwidth
(GB/s)","DVMT 
(MB)","Hardware acceleration","Hardware acceleration"
"Graphics","Launch","Market","CPU","Code name","Device id.","Core clock (MHz)","Execution 
units","Shader 
model","DirectX","OpenGL","OpenCL","Memory bandwidth
(GB/s)","DVMT 
(MB)","CVT HD","QSV"
"HD Graphics","2011","Desktop","Celeron G4x0
Celeron G5x0
Celeron G530T
Pentium G6xx
Pentium G6x0T
Pentium G8x0","Sandy Bridge","0102
0106
0112
0116
0122
0126
010A","650–1100","6","4.1","10.1","3.1 on Windows
 3.3 on Mac OS X
 3.3 on Linux","No","21.3","1720","No","No"
"HD Graphics","2011","Mobile","Celeron B7x0
Celeron 8x7
Celeron B8xx
Pentium B9x0
Pentium 9x7","Sandy Bridge","0102
0106
0112
0116
0122
0126
010A","350–1150","6","4.1","10.1","3.1 on Windows
 3.3 on Mac OS X
 3.3 on Linux","No","21.3","1720","No","No"
"HD Graphics 2000","2011","Desktop","Core i3-2102
Core i3-21x0
Core i3-21x0T
Core i5-2xx0
Core i5-2x00S
Core i5-2xx0T
Core i7-2600
Core i7-2600S","Sandy Bridge","0102
0106
0112
0116
0122
0126
010A","650–1250","6","4.1","10.1","3.1 on Windows
 3.3 on Mac OS X
 3.3 on Linux","No","21.3","1720","Yes","Yes"
"HD Graphics 2000","2011","Workstation","Xeon E3-1260L","Sandy Bridge","0102
0106
0112
0116
0122
0126
010A","650–1250","6","4.1","10.1","3.1 on Windows
 3.3 on Mac OS X
 3.3 on Linux","No","21.3","1720","Yes","Yes"
"HD Graphics 3000","2011","Desktop","Core i3-21x5
Core i5-2405S
Core i5-2500K
Core i7-2x00K","Sandy Bridge","0102
0106
0112
0116
0122
0126
010A","850–1350","12","4.1","10.1","3.1 on Windows
 3.3 on Mac OS X
 3.3 on Linux","No","21.3","1720","Yes","Yes"
"HD Graphics 3000","2011","Mobile","Core i3-23x0E
Core i3-23xxM
Core i5-251xE
Core i5-2xxxM
Core i7-2xxxQM
Core i7-271xQE
Core i7-29x0XM","Sandy Bridge","0102
0106
0112
0116
0122
0126
010A","650–1300","12","4.1","10.1","3.1 on Windows
 3.3 on Mac OS X
 3.3 on Linux","No","21.3","1720","Yes","Yes"
"HD Graphics P3000","2011","Workstation","Xeon E3-12x5","Sandy Bridge","0102
0106
0112
0116
0122
0126
010A","850–1350","12","4.1","10.1","3.1 on Windows
 3.3 on Mac OS X
 3.3 on Linux","No","21.3","1720","Yes","Yes"
"Graphics","Launch","Market","CPU","Code name","Device id.","Core clock (MHz)","Execution 
units","Shader 
model","API support","API support","API support","Memory bandwidth
(GB/s)","DVMT 
(MB)","Hardware acceleration","Hardware acceleration"
"Graphics","Launch","Market","CPU","Code name","Device id.","Core clock (MHz)","Execution 
units","Shader 
model","DirectX","OpenGL","OpenCL","Memory bandwidth
(GB/s)","DVMT 
(MB)","CVT HD","QSV"
