" ","40px 
 Austria","40px 
 Belgium","40px 
 Czech 
 Republic","40px 
 Denmark","40px 
 Finland","40px 
 France","40px 
 Germany","40px 
 Greece","40px 
 Hungary","40px 
 Iceland","40px 
 Ireland","40px 
 Italy","40px 
 Netherlands","40px 
 Norway","40px 
 Poland","40px|border 

 40px 
 Russia 
 & 
 Belarus","40px 
 Slovakia","40px 
 Spain","40px 
 Sweden","50px 
 Switzerland","40px 
 Ukraine","40px 
 United 
 Kingdom"
"Unprotected quayside or riverbank","15px","60px","15px","60px","60px","60px","60px","60px","60px 
 or 
 60px","60px","","60px","60px","60px","60px","60px 
 or 
 60px","15px","60px","60px","15px","60px","60px 
 or 
 60px"
"Domestic animals","60px","60px","60px","60px","15px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"Wild animals","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"Tunnel ahead","NOT 
 USED","NOT 
 USED","60px","60px","NOT 
 USED","NOT 
 USED","NOT 
 USED","60px","NOT 
 USED","60px","","NOT 
 USED","NOT 
 USED","60px","NOT 
 USED","60px","60px","NOT 
 USED","60px","NOT 
 USED","60px","60px"
"Accident area / accident ahead","NOT 
 USED","NOT 
 USED","60px","NOT 
 USED","NOT 
 USED","60px","60px 
 35px","NOT 
 USED","60px 
 50px","NOT 
 USED","NOT 
 USED","60px 
 50px","60px","","60px","NOT 
 USED","60px","60px","60px","NOT 
 USED","60px 
 35px 
 35px","60px 
 55px"
"Roadworks ahead","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"Other danger","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"Other danger (temporary)","NOT 
 USED","NOT 
 USED","NOT 
 USED","NOT 
 USED","NOT 
 USED","60px","NOT 
 USED","NOT 
 USED","NOT 
 USED","NOT 
 USED","NOT 
 USED","60px","NOT 
 USED","NOT 
 USED","NOT 
 USED","NOT 
 USED","60px","60px","NOT 
 USED","NOT 
 USED","NOT 
 USED","NOT 
 USED"
"","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
" ","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
"Road closed to all vehicles in both directions","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No entry for vehicular traffic","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px 
 or 
 60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No motor vehicles","60px","15px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No motor vehicles except motorcycles","60px","60px","60px","NOT 
 USED","NOT 
 USED","NOT 
 USED","60px","60px","60px","60px","NOT 
 USED","NOT 
 USED","60px","NOT 
 USED","60px","NOT 
 USED","60px","60px","60px","60px","NOT 
 USED","60px"
"No motorcycles","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No bicycles","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No pedestrians","","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No heavy goods vehicles","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No tractors","15px","15px","60px","60px","60px","60px","15px","60px","60px","60px","NOT 
 USED","60px","60px","60px","60px","60px","60px","60px","60px","15px","60px","15px"
"No horns or motor noise","60px","15px","60px","15px","15px","60px","15px","60px","NOT 
 USED","NOT 
 USED","NOT 
 USED","60px","15px","15px","60px","60px","60px","60px","15px","15px","60px","15px"
"","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
"No overtaking","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No overtaking by heavy goods vehicles","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED"
"Maximum speed limit","60px","60px","60px","60px","60px","","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"Speed limit zone","60px","60px","15px","60px","60px","60px","60px","60px","60px","60px","60px 
 60px","60px","","60px","60px","60px","15px","60px","60px","60px 
 or 
 60px","60px","60px"
"Maximum height","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"Maximum width","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"Maximum vehicle length","60px 
 or 
 60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","15px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px 
 or 
 60px"
"Maximum weight","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px 
 or 
 60px","60px","60px","60px","60px","60px","60px","60px","60px"
"Maximum weight per axle","60px","15px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED"
"Maximum weight per tandem axle","NOT 
 USED","NOT 
 USED","NOT 
 USED","60px","60px","NOT 
 USED","NOT 
 USED","NOT 
 USED","NOT 
 USED","NOT 
 USED","NOT 
 USED","NOT 
 USED","NOT 
 USED","60px","NOT 
 USED","NOT 
 USED","NOT 
 USED","NOT 
 USED","60px","NOT 
 USED","NOT 
 USED","NOT 
 USED"
"","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
"No vehicles carrying dangerous goods","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No vehicles carrying dangerous water pollutants","NOT 
 USED","60px","60px","NOT 
 USED","NOT 
 USED","60px","60px","60px","60px","60px","NOT 
 USED","60px","NOT 
 USED","NOT 
 USED","60px","NOT 
 USED","60px","60px","NOT 
 USED","60px","60px","NOT 
 USED"
"No vehicles carrying explosives","NOT 
 USED","60px","NOT 
 USED","NOT 
 USED","NOT 
 USED","60px","NOT 
 USED","60px","60px","NOT 
 USED","60px","60px","NOT 
 USED","NOT 
 USED","60px","60px","NOT 
 USED","60px","60px 
 30px","NOT 
 USED","60px","60px 
 60px"
"Minimum safe following distance between vehicles","15px","15px","60px","15px","60px","60px","60px","60px","60px 
 or 
 60px","60px","NOT 
 USED","60px","15px","NOT 
 USED","15px","60px","60px","60px","60px","60px","60px","60px"
"No right turn","60px","60px","60px","60px","60px","60px","NOT 
 USED","60px","60px","60px","60px","NOT 
 USED","NOT 
 USED","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No left turn","60px","60px","60px","60px","60px","60px","NOT 
 USED","60px","60px","60px","60px","NOT 
 USED","NOT 
 USED","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No U-turn","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No parking","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"No stopping and parking","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"End of prohibition (overtaking used as an example)","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px 
 35px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px 
 35px"
"","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
" ","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
"Proceed straight 
 (no turns)","60px","60px","","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"Turn right","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px 
 or 
 60px| Old style with limited use, progressively being replaced","60px","NOT 
 USED","60px","60px","NOT 
 USED","60px","60px","60px","60px","NOT 
 USED","60px"
"Turn right ahead","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED","60px","60px","60px","60px","60px"
"Keep right (or left)","60px","60px","60px","60px","60px","60px 
 or 
 50px","60px","60px","60px 
 or 
 60px","60px","60px 
 or 
 60px| Old style with limited use, progressively being replaced","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"Pass on either side","15px","60px","60px","60px","60px","15px","15px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","15px","60px","60px"
"Roundabout","15px","60px","15px","60px","60px","15px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"Minimum speed limit","60px","15px","60px","60px","15px","60px","60px","60px","60px","NOT 
 USED","NOT 
 USED","60px","15px","15px","60px","60px","60px","60px","15px","60px","60px","60px"
"Bicycles only","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","15px","60px","60px","60px","60px","60px","60px","60px","60px"
"Pedestrians only","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","15px","60px","60px","15px","60px","60px","60px","60px","60px","60px","60px","15px"
"Equestrian path","60px","60px","","60px","60px","60px","60px","60px","NOT 
 USED","60px","NOT 
 USED","60px","60px","NOT 
 USED","NOT 
 USED","NOT 
 USED","60px","60px","60px","60px","60px","NOT 
 USED"
"","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
" ","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom","/!\ This cell is not defined /!\"
"One-way street","","60px","60px","15px","15px","60px","15px","60px","60px","40px","60px| Entry to one-way street 
 or 
 60px| Old style with limited use, progressively being replaced","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px",""
"One-way street","60px","15px","60px","60px","60px","15px","60px","60px","60px","60px","NOT 
 USED","60px","60px","60px","15px","60px","60px","60px","60px","15px","60px","60px","/!\ This cell is not defined /!\"
"Pedestrian crossing","60px","60px","60px","60px","60px","","60px","60px","60px","60px","60px 
 or 
 60px","60px","60px","60px","60px","60px","60px","60px","60px 
 or 
 60px","60px","60px","NOT 
 USED","/!\ This cell is not defined /!\"
"Living street","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED","60px","60px","60px","60px","60px","60px","60px","60px","60px 
 or 
 60px","60px","60px","/!\ This cell is not defined /!\"
"Limited-access road","","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED","NOT 
 USED","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED","/!\ This cell is not defined /!\"
"Motorway","60px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","/!\ This cell is not defined /!\"
"","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom","/!\ This cell is not defined /!\"
" ","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
"No through road","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px 
 or 
 60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"Hospital","60px","60px","60px","15px","15px","60px 
 or 
 60px","15px","60px","60px","60px","60px","60px","15px","15px","60px","60px","60px","60px","15px","60px","60px","60px 
 or 
 60px"
"First aid","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED","60px","15px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED"
"Pharmacy","60px","15px","15px","15px","15px","15px","","15px","60px","60px","60px","60px","15px","15px","15px","15px","15px","60px","60px","60px","15px","60px"
"Bus stop","15px","15px","60px 
 or 
 60px","60px","60px 
 or 
 60px","60px","60px","60px","60px","60px","15px","60px","60px","60px","60px","60px","60px","60px","60px","15px","60px","60px"
"Tunnel","60px","60px","15px","15px","60px","60px","60px","60px","15px","NOT 
 USED","NOT 
 USED","60px 
 or 
 60px","60px","15px","60px","15px","60px","60px","60px","60px","15px","NOT 
 USED"
"Parking place","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px 
 or 
 60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px"
"","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
" ","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
"Schengen Area","60px","60px 
 or 
 60px","60px","60px","60px 
 or 
 60px","60px","60px","60px","60px","NOT 
 USED","NOT 
 USED","60px","","NOT 
 USED","60px","NOT 
 USED","60px","60px","15px","NOT 
 USED","NOT 
 USED","NOT 
 USED"
"National speed limits","60px","60px","60px","60px","60px","60px","60px","60px","60px","60px","NOT 
 USED","60px","60px","15px","60px","60px 

 60px","60px","60px","60px","60px","60px","60px"
"","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
" ","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
"Customs","60px","60px","60px","15px","60px","60px","60px","60px","60px 
 or 
 60px","NOT 
 USED","NOT 
 USED","60px","15px","60px","60px","60px","60px","60px","60px 
 or 
 60px","60px 
 or 
 60px","60px","NOT 
 USED"
"Police","15px","15px","15px","15px","60px","60px 
 or 
 60px","15px","15px","60px","NOT 
 USED","NOT 
 USED","60px","15px","15px","15px","15px","60px","15px","15px","60px 
 or 
 60px","15px","60px"
"Toll","15px","60px","15px","15px","15px","60px","60px 
 or 
 60px","60px","60px","60px","NOT 
 USED","60px","15px","60px","60px","15px","15px","60px 
 or 
 60px","15px","15px","15px","NOT 
 USED"
"Other Control","15px","15px","15px","60px","15px","15px","15px","15px","15px","NOT 
 USED","NOT 
 USED","NOT 
 USED","60px","60px","15px","60px","60px","60px","60px","15px","60px","NOT 
 USED"
"","Austria","Belgium","Czech 
 Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Netherlands","Norway","Poland","Russia 
 & 
 Belarus","Slovakia","Spain","Sweden","Switzerland","Ukraine","United 
 Kingdom"
