"Yes","Tablet-only","Beta","Limited","3rd party","No"
"Non-English languages support","Yes","Partial","Yes","Yes","Yes","Yes","Limited (Search is not diacritical mark-insensitive)","?","Yes"
"Underlining spell checker","Yes","2.3+","Yes","Yes","Yes","?","No","?","?"
"Built-in system-wide dictionary","5+","Built into keyboard application. Available on every device.","Yes","Yes","Yes","?","No","?","?"
"Autoexpanding text replacements","5+","Yes","No","Yes","Yes","?","?","?","?"
"Keyboard next word prediction","8+","No, 3rd party software","No","Yes","Yes","No","No","?","?"
"Optical character recognition input method","No","No","No","No","No","No","No","No","No"
"Third party input method","8+","Yes","1.2+","No","No, only for Android apps through sideload of Android keyboard","Yes","?","?","?"
"Gesture text input","available on jailbroken devices","4+","No","8.1+","Yes","?","?","?","No"
"Emoji support","Yes","4.4+","No","Yes","10.2+","?","?","?","?"
"Accessibility features","Yes","Yes","No","Yes","Yes","?","?","?","?"
"Search multiple internal applications at once","Yes","Yes","Yes","8.1+","Yes","?","Yes","?","?"
"Core applications missing search","Bookmarks","Calendar (available since 3+ and HTC Sense)","?","Video","?","?","?","?","?"
"Settings search","No","5+ or 3rd party software like CyanogenMod","No","No","Yes","No","No","No","No"
"Search all fields of internal objects","6+","Only search Contacts name field but not any other field","?","Contacts are searched by name, nick and company, but not other fields like address or notes","Limited on most models Search on notes body and contacts notes field was removed on OS6","?","Only searches contacts by name","?","?"
"Proxy server","Yes","3.1+ but only global, not per connection and only works for the browser 3rd party apps available","?","Yes","Yes","?","Yes","?","?"
"On-device encryption","Yes (3rd party software may attempt brute-force attack on password)","3+","?","8+","Yes (3rd party software may attempt brute-force attacks on password)","?","No","?","?"
"External storage encryption","External storage not supported","No, 3rd party","?","8.1+ Apps and data only","Yes","?","No","?","?"
"Cloud encrypted storage","No, data stored on iCloud is accessible by Apple and shared with the American PRISM surveillance program.","No, data is accessible by Google and shared with the American PRISM surveillance program.","?","No, data is accessible by Microsoft and shared with the American PRISM surveillance program.","?","?","?","?","?"
"Privacy of synchronization","When synchronizing locally and not using iCloud (that keeps data unencrypted)","Not possible since there is only Google synchronization (that keeps data unencrypted), possible with HTC Sense Desktop Sync","?","Neutral, Contacts, Calendar and Mail can be kept private when using your own Exchange server or Office 365 own cloud instead of synchronizing with public cloud servers (that keeps data unencrypted) for Photos and Office docs can be kept private when using your own Office 365 cloud or SharePoint, or synchronization of Phones can be disabled (by default).","When using your own BES instead of BlackBerry cloud BES (that keeps data unencrypted)","?","?","?","?"
"Sync to cloud communication encryption","Yes","2.3.4+","?","7.10.7720.0+","Yes","?","?","?","?"
"Desktop sync","Yes","No, but available on HTC Sense","No","Yes","Yes","Yes","Yes","?","?"
"Local full backup","Yes, using external computer","Limited backup for 4.0+ with ADB using external computer. Possible with 3rd party apps with rooted phones or a custom recovery","?","No, removed in WP8, was available on WP7 in Zune only when performing update, or anytime via 3rd party software","Yes, using external computer and memory card (7+)","?","No","Yes","?"
"Core data missing sync","","Bookmarks (before 4), SMSs and Settings","","Favorites, Text Messages and Settings","?","?","?","?","?"
"cut, copy, and paste","3.0+","Yes","No","Yes","Yes","?","Yes","?","Yes"
"undo","3.0+","No","No","No","No","?","No","?","?"
"Do not disturb mode","6+","No, 3rd party software","No","8.1+","Yes","No","No","No","No"
"Visual voicemail","Yes","2.1+","No","Yes","Yes","?","?","?","?"
"Call log duration","Yes","Yes","Yes","8.1+","Yes","?","?","?","?"
"Multiple mobile phones per contact","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes"
"Contact groups","3rd party software","4+ or 3rd party software","No","7.5+","Yes","?","Yes","?","?"
"Phone number linking to dialer","Yes","Available in stock Android, but not all devices enable it.","Yes","Yes","Yes","?","Yes, but not in browser","?","?"
"NFC payment software","8+ on iPhone 6+ Apple Pay","Available on any device that supports the hardware. Google Wallet for NFC payments available in Play Store.","No","8+","Yes","No","No","?","?"
"Addresses link to maps","Yes","In Contacts, but not in Calendar nor in Gmail","No","Yes","?","?","?","?","?"
"Dates link to calendar","Yes","No","No","?","?","?","?","?","?"
"iCalendar import","Yes","No, but 3rd party app available","No","3rd party software (only import not subscribe)","Yes","?","?","?","?"
"Song recognition","Yes, Siri (8.0+)","Yes, install Google Search app","No","Yes","3rd party apps","?","?","?","3rd party app"
"Default web browser/engine","WebKit","Blink","Gecko","Trident","WebKit","WebKit","WebKit","Gecko","WebKit (in webbrowser-app)"
"Browser extensions","No","No 3rd party software","No","No","No","No","No","No","No"
"Browser direct Internet connection (increased resilience to outages)","Yes","Yes","Yes","Yes","10+, 7.1 and older route through BlackBerry Internet Service, direct browsing supported over WiFi","Yes","Yes","?","?"
"Browser undo close tab","No","3rd party software Google Chrome for Android","No","No","No","No","No","No","No"
"Browser keeps windows open on shutdown or crash","Yes","2.3+ Google Chrome but not on main browser","Yes","Yes","10+ Opens dialog for choosing which websites to restore after crash, option to restore all sites after restart","?","No","?","Yes"
"Browser keeps windows open when cleaning cookies","No","Yes","Yes","Yes","Yes","?","?","?","?"
"Browser search engine options","Bing, Google, Yahoo! Search, DuckDuckGo","Many","Google","Bing, Google support removed on some markets on 8.1 GDR1+","Google, Bing, Yahoo, Wikipedia, Dictionary.com, User Defined","?","?","?","?"
"Browser find on page","4.2+","1.5+","No","8+","Yes","?","?","?","?"
"Browser/email save images","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes"
"Browser/email save PDFs","Yes","Yes","Yes","Yes","Yes","?","Yes","?","When PDF app installed"
"Browser save audio/video","No","Yes, but only links, not embedded media","1.1+","8.1+","Yes (embedded media not supported)","?","Yes","?","Yes"
"Browser save page","6+ Offline Reading List or 3rd party software","No, Introduced on 4.0, but removed on 4.4","No","No","Yes","?","?","?","?"
"Browser save any file","No, 3rd party software","No, 3rd party software","No","8.1+","10+","?","?","Yes","When an app for the filetype is installed"
"Browser force enable zoom","No","No, not working anymore on Android 4.4","No","Yes, via accessibility settings","Yes,via accessibility settings","?","?","?","?"
"Browser text reflow","Only on pages available on reader mode on 5+; 3rd party browsers on prior versions","No, removed on Android 4.4","Yes","Only on pages available on reading view on 8.1+","Yes 10+ Only in reader mode","?","No","?","?"
"Browser Reader Mode","5+","No, 3rd party software","No","8.1+","10+","?","?","?","?"
"Browser file upload","6+ or 3rd party software","2.2+","1.1+","Yes","4.2+","?","Yes","Yes","Yes"
"Browser form navigation","Previous, Next, AutoFill, and Done buttons","Next button","?","Yes","Yes","?","?","?","?"
"Browser private browsing mode","5+","3.0+ or with rooted devices and 3rd party firmware","No","8.1+","10+","?","?","?","?"
"Offline web apps","Yes","Yes","Yes","?","?","?","No","?","?"
"HTTP Live Streaming","3+","3+","?","No","10+","No","No","?","?"
"Official application store","App Store","Google Play","Firefox Marketplace","Windows Phone Store","BlackBerry World","?","Samsung Apps","Jolla Harbour","Ubuntu Store"
"Non-discriminatory stores","Apple discriminates based on country and own Apple policies","Developers can distribute apps from their own sources","Developers can distribute apps from their own sources, supports multiple app stores","Discriminates by country and manufacturer","3rd party software","?","?","?","?"
"Unified Inbox","Yes","No, but 3rd party apps available","No","7.5+","Yes","?","Yes","?","No"
"Email sync protocols supported","POP3, IMAP, MAPI","POP3, IMAP, MAPI","POP3, IMAP+SMTP, ActiveSync","POP3, IMAP, MAPI, Exchange","BES, BIS, Push e-mail, 10+: POP3, IMAP, Exchange","POP3, IMAP","POP3, IMAP","POP3, IMAP, Exchange","IMAP+SMTP"
"Non-intrusive incoming calls","No","5+ or 3rd party software","No","No","No","No","No","No","No"
"Non-intrusive notifications","5+","Yes","Yes","Yes, except Calendar Reminders","6+","Yes","?","?","?"
"Notification center","5+","Yes","Yes","8.1+","6+","Yes","2+","Yes","Yes"
"Push notifications","Yes (Apple Push Notification Service)","Yes","1.1+","Yes","Yes","?","2+","?","Server implemented, Client API in development"
"End-to-end encrypted push notifications","Possible since iOS 7, where the application can handle the notification and decrypt it","Possible, notifications are handled by the application that can decrypt it","?","Possible, raw notifications are handled by the application that can decrypt it","?","?","?","?","?"
"Screen orientation lock","Yes","Yes","Yes","8 GDR3+","10+","?","?","?","?"
"Custom home and lock screen wallpaper","4+","Yes","Yes","Yes","Yes","?","Yes","Yes (incl. Ambience)","Yes"
"Separate volume for ringtone and media","Yes","Yes","Yes","8.1+","Yes","?","?","Yes","?"
"Custom ringtones","Yes","Yes","1.2+","7.10.7720.0+","Yes","?","Yes","Yes","?"
"Custom SMS/MMS tones","5+","Yes","No","8 GDR3+","Yes","?","?","Yes","?"
"Custom vibrate alert patterns","5+",", possible on some Samsung devices such as Galaxy S III, but limited","No","?","Yes","?","?","?","?"
"Non-carrier-based integrated messaging","5+ (iMessage)","Google+ Hangouts","3rd party software","Skype","BBM","?","?","?","?"
"Voice commands","5+ (Siri on iPhone 4S)","Yes","No","8.1+ Microsoft Cortana","Yes","?","?","?","?"
"Offline voice commands","Yes","No","No","Limited, Playback control not available","No","?","?","?","?"
"Voice recognition","5+ (Siri on iPhone 4S)","Yes","3rd party software","8.1+ Microsoft Cortana","Yes","?","?","?","?"
"Offline voice recognition","No","4.1+","No","Limited, only calling and launching apps","No","No","No","?","?"
"Non-English voice recognition","Yes","Yes","No","Yes","Yes","?","?","?","?"
"Sound recorder","3+ Limited (Not voice controlled)","Very limited (Doesn't work in background and not voice controlled)","No","3rd party software","10+ Embedded into Remember app, works in background but not voice controlled. 7.1 and older: Very limited (Doesn't work in background and not voice controlled)","?","Neutral","?","?"
"Call recorder","Prevented by OS restrictions","Prevented by OS restrictions, but possible with 3rd party firmware","No","Prevented by OS restrictions","With third-party software","?","?","?","?"
"Camera focus at specified point","Yes","2.3+","2.0+","Yes","10+","Yes","?","?","Yes"
"Camera exposure metering from specified point","Yes","No, available on some phones.","No","8.1+","No","No","No","?","?"
"On device picture info (including Exif data)","Only location","Only date and location; more with 3rd party software","No","3rd party apps","?","?","No","?","?"
"On device picture categorization","5+","No 3rd party software like TouchWiz","No","No","Yes, photos can be renamed and searched","?","No","?","Yes, Albums"
"On device picture description and search","No","No","No","No","?","?","No","?","?"
"Turn off shutter sound","In silent mode","In silent mode","In silent mode","7.5+","10.2+ - In silent mode","?","In silent mode","?","?"
"Picture crop","5+","Yes","Yes","8+","10+","?","No","?","Yes"
"Photo rotation","5+","Yes","Yes","8+","10+","?","No","?","Yes"
"Photo red-eye reduction","5+","2.3+","No","3rd party software","10+","?","No","?","?"
"HDR photos option","Yes","4.2+, some manufacturers earlier","No","3rd party apps","10.1+","?","No","?","Yes"
"Photo/video import from memory cards","With Camera Connection Kit","Yes","Yes","?","Yes","?","?","?","?"
"Video trim","Yes","2.3+","No","8+","10+","?","No","?","?"
"Sound trim","Yes","No, but 3rd party software available","No","3rd party software","?","?","?","?","?"
"Tethering","Bluetooth, USB (carrier dependent), Personal Hotspot (Wi-Fi Tethering) (carrier dependent, iPhone 4 & 4S since iOS 4.2.5/4.3, or with 3rd party software and ""jailbreak"")","Mobile Wi-Fi Hotspot, USB, Bluetooth","Mobile Wi-Fi Hotspot and USB","Internet Sharing (Wi-Fi Hotspot), Bluetooth (8.1 Update+)","USB, Bluetooth, Mobile Wi-Fi Hotspot","?","microUSB, Bluetooth 3.0, Mobile Wi-Fi Hotspot","?","USB"
"USB On-The-Go","Yes","3.1+","?","No","10.2+","?","No","?","Yes"
"Interchangeable external memory cards","Only for photo/video import with an optional accessory","Yes","Yes","8+","Yes","Yes","Yes","Yes","?"
"Move apps to external storage","No","2.2+","?","8.1+","No","No","No","?","?"
"Text/document support","Microsoft Office, iWork, PDF, Images, TXT/RTF, VCF","Microsoft Office 2003/2007, PDF, Images, TXT/RTF","PDF","Microsoft Office Mobile, PDF, TXT/RTF","Microsoft Office, PDF, OpenDocument, TXT","?","Read only: text files, PDF, HTML, Multiple office formats","?","?"
"Printer support","Yes (AirPrint)","4.4+ using Google Cloud Print but not over USB","?","3rd Party Software","Yes","?","No","?","?"
"Audio playback","AAC (8 to 320 kbit/s), protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 kbit/s), MP3 VBR, Apple Lossless, AIFF, WAV","AAC LC/LTP 3GPP, HE-AACv1 (AAC+) (before Android2.1), HE-AACv2 (enhanced AAC+) (before Android2.1), AMR-NB, AMR-WB, MP3 (Mono/Stereo 8â€“320 kbit/s constant or variable bit-rate), MIDI (Type 0 and 1, DLS versions 1 and 2), Ogg Vorbis, PCM/WAVE (8- and 16-bit linear PCM, rates up to limit of hardware), WAVE","AAC, MP3, WAV, Opus, Vorbis","MP3, WMA Std 9.2, WMA Pro, AMR-NB, AAC-LC, AAC+, eAAC+","MP3, FLAC, AAC, AAC+, eAAC+, WAV, WMA pro, AMR-NB, MIDI","?","AAC, AAC+, eAAC+, AMR-NB, AMR-WB, MP3, Vorbis, WAV","MP3, FLAC, AAC, ALAC, AC3, DTS, OPUS, Vorbis","?"
"Video playback","H.264 (up to Main Profile), MPEG-4, M-JPEG","H.263, H.264 (up to Baseline Profile), MPEG-4 SP, DivX, XviD, VP8","H.264, Theora, VP8","H.263, H.264, WMV, MPEG4, MPEG4 @ HD 720p 30fps, DivX, XviD","MP4, WMV, H.263, H.264, DivX, WMV, XviD, 3gp","?","H.263, H.264, MPEG-4 Part 2","?","?"
"Wired video out","Up to 720p via HDMI or VGA, 576p/480p via component or composite; 1080p on iPad 2 or iPhone 4S in 5+","1080p on select devices","?","8.1+ USB","10+ 1080p via microHDMI","?","No","?","?"
"Wired digital audio output","No","5+ USB Audio","No","No","No","No","No","No","No"
"Wireless video/audio streaming to set top boxes/TVs/speakers","AirPlay","4.2+ Miracast, but DLNA only available on selected devices","?","8.1+ Miracast on some devices","10+ DLNA, 10.2+ Miracast on some devices","?","DLNA","?","?"
"Media player on-device playlist creation","Yes","Yes","?","Yes","Yes","?","?","?","Yes"
"Media player video scrubbing","Yes","Yes","?","7.10.7720.0+","?","?","?","?","Yes"
"Media player audio scrubbing","Yes","Yes","?","8.1+","?","?","?","?","Yes"
"Media player fine scrubbing","Yes","No, 3rd party software like VLC media player, basic fine scrubbing removed on 4+","?","No","?","?","?","?","?"
"Media player double speed playing","Only Audio Podcast","3rd party software","?","No","?","?","?","?","?"
"Safe driving mode","3rd party software","3rd party software","No","8 GDR3+","No","?","?","?","?"
"Turn-by-turn navigation","6+","2+","?","8+","10+","?","?","?","?"
"Offline maps","3rd party software","Yes Google Maps","?","8+","3rd party software","?","?","?","?"
"Alternative routes in maps","5+","Yes","?","3rd party software","?","?","?","?","?"
"Computer multitasking","7+ was limited from version 4","Yes","Yes","8+, 7.5: Limited","Yes","Yes","2+","Yes","Yes"
"Document-centric multitasking","No","5+","No","No","No","No","No","No","No"
"Split-screen app usage","No","No, 3rd party software","No","No","No","No","Yes","No","Tablet-only"
"Record video with voice while calling","No","Yes (Not available on some devices)","?","Yes","?","?","?","?","?"
"Desktop interactive widgets","No","Yes","?","No Live Tiles are not interactive","No","Yes","No","?","?"
"Lock screen widgets","Media player; 5+: Notifications, voicemail, camera","No, introduced on Android 4.2 and removed on Android 5","?","Media Player; 8+: Live Apps and notifications","Yes, interactive notifications, camera, alarm","?","Media player; Notifications (sms, call)","?","?"
"Notification view widgets","8+","4.1+: Google Now and possible with 3rd party apps","?","No","Yes, BB 10.2","?","No","Yes","?"
"Quick settings toggles","7+ or 3rd party software on jailbroken devices","2+","Yes","8.1+","10+, customizable in 10.2.1+","?","No","?","Yes"
"Bluetooth keyboard","Yes","2.3+; previous versions via 3rd party software","?","No","Yes","?","No","?","?"
"USB keyboard","With Camera Connection Kit","3.1+","?","No","?","?","No","?","?"
"Direct file transfer over Wi-Fi Direct","3rd party software on jailbroken devices","4+ and selected devices","No","No","10.2+","No","No, was available on bada 2+, but removed on Tizen","?","?"
"Direct file transfer over Bluetooth","3rd party software on jailbroken devices","2+","Yes","8+","Yes","Yes","No, was available on bada, but removed on Tizen","Yes","?"
"Direct file transfer over NFC","No","4+","?","8+","7.1+","No","2+","?","?"
"Voice over IP","FaceTime or 3rd party software","Yes (SIP) or 3rd party software","?","Fully integrated in 8+","BBM 7+ or 3rd party software","?","No","?","?"
"SSH Client","Yes","Yes","?","Yes","Yes","Yes","?","?","Yes"
"VPN","Yes","Yes","No","8.1+","10+","No","?","?","?"
"OpenVPN","No","No, but possible with 3rd party firmware","No","No","No","Yes","?","?","?"
"WPA PEAP","Yes","Yes","Yes","Yes","?","?","?","?","?"
"Show remembered Wi-Fi connections","No","Yes","Yes","Yes","Yes","?","?","?","Yes"
"Remote Frame Buffer (RFB) protocol","?","Yes","?","?","?","Yes","?","?","?"
"Screenshot","Yes","4+ also available on earlier versions with customized roms, such as Cyanogen Mod and the default Samsung Galaxy S II rom","Yes","8+","10+","?","Yes","?","From desktop only"
"Screencast on device","No","No, 3rd party software like AOKP or OmniROM","No","No","No","No","No","No","No"
"Screencast over USB","8+ on OS X","4.4+ over USB, for prior versions root required for 3rd party app","No","3rd party software on 8.1+","No","No","No","?","?"
"Screen share","No","No","No","No","10+","No","No","No","No"
"GPU accelerated GUI","Yes","3+","?","Yes","Yes, OS 7.0+","?","?","","Yes"
"Official SDK platform(s)","Mac OS X using iOS SDK","Linux, Mac OS X and Windows","All where Firefox is available","Windows","Windows, Mac OS X, Linux (only Native SDK for 10+)","GNU/Linux and Windows","GNU/Linux, Windows, OS X","Windows, Mac OS X and Linux","Ubuntu desktop using Ubuntu SDK"
"Cost to develop on the phone","$99/year","Free","Free","Free","Free","Free","Free","Free","Free"
"Cost to publish application on official store","Included in the cost to develop on the phone","$25 once to offer it on Google Play","Free","$19/year for an individual and $99/year for a company account. Students can get a token for an individual account (1 token for 365 days) which gives free access to Windows Store/Phone Dev Center for 12 months.","Free","Free","Free","Free","Free"
"Ability to relocate to another country","Yes","Yes","Yes","8+","Yes","Yes","Yes","Yes","Yes"
"Feature","iOS","Android","Firefox OS","Windows Phone","BlackBerry OS","Mer","Tizen","Sailfish OS","Ubuntu Touch"
