"Name","Version","Software license","Active","Type","Windows","Mac OS X","Linux","Textual editor?","Tree View editor?","Graphical editor?","WYSIWYG editors?","Syntax highlighting for (XML, XSD, XSL, XSLT, ...)","Tag Folding","Intellisense/
Autocompletion (using schema.xsd for text)","Full-
featured free trial period","Price for commercial version (exc. VAT)"
"MadCap Flare","10.0.1 (2014)","Proprietary","Yes","Standalone","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Full Version Starts at $999. Subscription Starts at $67.00/Month. Upgrade Starts at $499."
"Oxygen XML Editor","15.2 (2014)","Proprietary","Yes","Standalone","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Starts at $349. Academic version at $99."
"Quark XML Author","3","Proprietary","Yes","Microsoft Word Plugin","Yes","No","No","Yes","?","Yes","No","?","?","?","?","?"
"Rinzo","1.4.0","GNU LGPL","Yes","Eclipse Plugin","Yes","Yes","Yes","Yes","?","No","No","Yes","Yes","Yes","?","?"
"Simply XML","5.6 (2013)","Proprietary","Yes","Microsoft Word Plugin","Yes","No","No","No","Partial/DITA Map only","Yes","Yes","No","Partial/DITA Map only","No","Yes","US$499 with volume pricing at 25 units"
"SDL Xopus","4.4.2 (2014)","Proprietary","Yes","Web-app","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","?"
"Stylus Studio","X15 (2013)","Proprietary","Yes","Standalone","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","$695"
"Serna XML Editor","4.4 (2011)","Proprietary","Yes","Standalone","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","$749"
"Xeditor","2.0","Proprietary","Yes","Web-app","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","volume pricing"
"Xerlin","1.3 (2005)","Open Source","No","Standalone","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"XMetaL","7.0","Proprietary","Yes","Standalone","Yes","No","No","Yes","?","Yes","Yes","?","?","?","?","?"
"XMLBlueprint","2013","Proprietary","Yes","Standalone","Yes","No","No","Yes","?","No","No","Yes","Yes","Yes","?","?"
"XML Copy Editor","1.2.1.1 (5/4/2014)","GNU GPL","Yes","Standalone","Yes","No","Yes","Yes","?","No","No","Yes","Yes","Yes","?","?"
"XmlGrid.net","2013","Free Browser-based","Yes","Web-app","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","N/A","?"
"XMLmind XML Editor","5.6 (2013)","Proprietary","Yes","Standalone","Yes","Yes","Yes","No","Yes","Yes","Yes","?","?","?","?","$330"
"XML Notepad","2.5 (2007)","Microsoft Public License","No","Standalone","Yes","No","No","Yes","?","Yes","?","?","?","?","?","?"
"XMLSeed","Release 2.0 RC2","Proprietary","Yes","Standalone","Yes","Yes","Yes","Yes (indirect)","Yes","Yes","Yes","Yes","Yes","Yes (indirect)","Yes","49 EUR"
"XMLSpy","2015","Proprietary","Yes","Standalone
Eclipse Plugin","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","30","399 EUR"
"XML ValidatorBuddy","4.8 (2014)","Proprietary","Yes","Standalone","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","$39"
"XML Marker","2.2 (2013)","Proprietary","Yes","Standalone","Yes","No","No","Yes","Yes","No","No","Yes","No","No","Yes","$125"
"Xmplify XML Editor for Mac","1.6.0 (2014)","Proprietary","Yes","Standalone","No","Yes","No","Yes","Read-only Tree View","No","No","Yes","No","Yes","Yes","$59 incl VAT ($39 incl VAT for Educational users)"
"XTrans","1.8","GNU GPL","No","Standalone","Yes","No","No","Yes","Yes","No","No","Yes","No","No","?","?"
