"Model","Image processor","Sensor format","Megapixels","Min ISO","Max ISO","Autofocus points","Display","Storage","Live view?","Max FPS","Release date","Weight (kg)","Dimensions, WxHxD (mm)","Video"
"Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras","Image processor:Non-DIGIC |DIGIC |DIGIC II |DIGIC III |DIGIC 4 |DIGIC 5 / 5+ |DIGIC 6Specialty models: C - Cinema EOSNaming of entry-level models: Rebel - Americas | Kiss - JapanSee also: Canon EOS Film SLR cameras"
"Class","Sensor","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015"
"Class","Sensor","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"Professional","Full-frame","","","","","","","","","","","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds Mark II","1Ds Mark II","1Ds Mark II","1Ds Mark II","1Ds Mark II","1Ds Mark II","1Ds Mark II","1Ds Mark II","1Ds Mark II","1Ds Mark II","1Ds Mark II","1Ds Mark II","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1Ds Mark III","1D X / 1D C","1D X / 1D C","1D X / 1D C","1D X / 1D C","1D X / 1D C","1D X / 1D C","1D X / 1D C","1D X / 1D C","1D X / 1D C","1D X / 1D C","1D X / 1D C","1D X / 1D C","1D X / 1D C","1D X / 1D C","1D X / 1D C"
"Professional","APS-H","","","","","","","1D","1D","1D","1D","1D","1D","1D","1D","1D","1D","1D Mark II","1D Mark II","1D Mark II","1D Mark II","1D Mark II","1D Mark II","1D Mark II N","1D Mark II N","1D Mark II N","1D Mark II N","1D Mark II N","1D Mark II N","1D Mark III","1D Mark III","1D Mark III","1D Mark III","1D Mark III","1D Mark III","1D Mark III","1D Mark III","1D Mark III","1D Mark III","1D Mark IV","1D Mark IV","1D Mark IV","1D Mark IV","1D Mark IV","1D Mark IV","1D Mark IV","1D Mark IV","1D Mark IV","1D Mark IV","","","","","","","","","","","","","","",""
"Enthusiast","Full-frame","","","","","","","","","","","","","","","","","","","","","","","5D","5D","5D","5D","5D","5D","5D","5D","5D","5D","5D","5D","5D Mark II","5D Mark II","5D Mark II","5D Mark II","5D Mark II","5D Mark II","5D Mark II","5D Mark II","5D Mark II","5D Mark II","5D Mark II","5D Mark II","5D Mark II","5D Mark III","5D Mark III","5D Mark III","5D Mark III","5D Mark III","5D Mark III","5D Mark III","5D Mark III","5D Mark III","5D Mark III","5D Mark III","5D Mark III","5D Mark III","5D Mark III","5D Mark III","5D Mark III"
"Enthusiast","Full-frame","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6D","6D","6D","6D","6D","6D","6D","6D","6D","6D","6D","6D","6D"
"Enthusiast","APS-C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7D","7D","7D","7D","7D","7D","7D","7D","7D","7D","7D","7D","7D","7D","7D","7D","7D","7D","7D","7D","7D Mark II","7D Mark II","7D Mark II","7D Mark II","7D Mark II"
"Enthusiast","APS-C","","","D30","D30","D30","D30","D30","D60","D60","D60","D60","10D","10D","10D","10D","10D","10D","20D","20D","20D","20D","20D","20D","30D","30D","30D","30D","30D","30D","40D","40D","40D","40D","50D","50D","50D","50D","50D","50D","50D","50D","60D","60D","60D","60D","60D","60D","60D","60D","60D","60D","60D","60D","70D","70D","70D","70D","70D","70D","70D","70D","70D","70D"
"Enthusiast","APS-C","","","","","","","","","","","","","","","","","","","","20Da","20Da","20Da","20Da","20Da","","","","","","","","","","","","","","","","","","","","","","","","","60Da","60Da","60Da","60Da","60Da","60Da","60Da","60Da","60Da","60Da","60Da","","","",""
