"id";"product_name";"countries";"ingredients";"brands";"stores";"energy_100g";"proteins";"fat";"carbohydrates";"saturated-fat";"sugars";"sodium";"salt";"fiber";"fruits-vegetables-nuts";"image_url"
"3560070995844";"Nuggets végétariens";"France";"";"Carrefour,Carrefour Veggie";"";"268.27222";"19";"13";"18";"1.4";"2.3";"0.748031496062992";"1.9";"0";"0";"https://static.openfoodfacts.org/images/products/356/007/099/5844/front_fr.6.400.jpg"
"3560070995967";"Veggie";"France";"";"Carrefour";"";"586";"4.1";"6.8";"14";"1.2";"2";"0.19685039370078738";"0.5";"3.9";"0";"https://static.openfoodfacts.org/images/products/356/007/099/5967/front_fr.6.400.jpg"
"3560070819065";"Crêpes de Froment Champignons";"France";"Garniture,Eau,champignons,farine de froment,blé,5,huile de tournesol,préparation laitière,crème en poudre,oignons,échalotes,sel,extrait de poivre,arôme naturel.Pâte,Eau,farine de froment,blé,12,oeufs frais,poudre de lait écrémé,huile de tournesol,dextrose,sel,lactose et protéines de lait,contient oeuf";"Carrefour";"Carrefour Market";"139.51111";"4.9";"4.7";"19";"0.7";"3.4";"0.30708661417322836";"0.78";"1.3";"0";"https://static.openfoodfacts.org/images/products/356/007/081/9065/front_fr.6.400.jpg"
"3560070327805";"Trio de Champignons à la crème";"France";"mélange de champignons,crème 20% ail,persil,stabilisant,carraghénanes,pleurotes,lentins de chêne,pholiotes";"Carrefour";"Carrefour";"73.1";"2";"5.5";"1.5";"3.3";"0";"0.1";"0.254";"1.4";"0";"https://static.openfoodfacts.org/images/products/356/007/032/7805/front_fr.6.400.jpg"
"3560070747863";"Saumon Sauce Fondue de Poireaux, Surgelé";"France";"";"Carrefour";"";"668";"0";"23.8";"0";"8.2";"3.2";"0.3818897637795275";"0.97";"0";"0";"https://static.openfoodfacts.org/images/products/356/007/074/7863/front_fr.7.400.jpg"
"3560070723140";"Poêlée de légumes croquants";"France";"Carottes,brocoli,chou romanesco,chou-fleur,oignons préfrits,assaisonnement,oignons,huile de tournesol,huile de colza,sel,ciboulette,oignon,ail en poudre,noix de muscade";"Carrefour";"Carrefour";"42.283333";"1.4";"2.1";"3.3";"0.3";"2.9";"0.244";"0.61976";"2.4";"0";"https://static.openfoodfacts.org/images/products/356/007/072/3140/front_fr.9.400.jpg"
"3560070444397";"Menestra congelada";"España";"Guisante fino,judías verdes redondas finas troceadas,zanahoria dados,alcachofas troceadas,habas finas,coles de bruselas 11%";"Carrefour,//Propiedad de://,Carrefour S.A.";"Carrefour";"37.02778";"3.2";"0.4";"2.7";"0.1";"0.5";"0.03";"0.0762";"5";"0";"https://static.openfoodfacts.org/images/products/356/007/044/4397/front_es.7.400.jpg"
"3560070856077";"Fish'n Chips";"France";"Pommes de terre préfrites,pommes de terre 94%*,huiles de tournesol et colza*Le pourcentage est exprimé sur les pommes de terre préfritesFilet de colin d'Alaska MSC enrobé d'une pâte à beignet préfrit,filet de colin d'Alaska,Theragra chalcogramma pêché en Océan Pacifique,Pâte à beignet 35%*,*Les pourcentages sont exprimés sur le filet de colin d'Alaska enrobé,eau,huiles de tournesol et colza,farine de blé,farine de maïs,amidon de blé,amidon modifié de maïs,gluten de blé,sel,poudres à lever,diphosphate et carbonate de sodium,dextrose";"Carrefour";"Carrefour";"154.56111";"6.8";"6.8";"16";"0.6";"1.5";"0.154";"0.39116";"1.8";"0";"https://static.openfoodfacts.org/images/products/356/007/085/6077/front_fr.14.400.jpg"
"3560070348534";"pomme noisette";"France";"pommes de terre,huile de tournesol,sel,dextrose,mais ou blé,émulsifiant,hydroxypropylméthylcellulose,épices,pommes de terre,pommes de terre déshydratées";"carrefour discount,carrefour";"";"167.7";"2";"6.5";"23.5";"1";"1";"0.3";"0";"3.5";"0";"https://upload.wikimedia.org/wikipedia/commons/f/f8/Question_mark_alternate.svg"
"3564700656655";"Tagliatelles au poulet sauce crème et champignons";"France";"Tagliatelles cuites cuisinées,43,eau,semoule de blé dur de qualité supérieure,œufs frais,140 g par kg de semoule,carottes,ciboulette,huile de colza,sel,Sauce à la crème et aux champignons,eau,crème légère,champignons,vin blanc,amidon modifié de maïs,oignons,fond de volaille,échalote,sel,colorant,caramel,arôme naturel de poivre,Pourcentage exprimés sur la sauce,Aiguillettes de poulet rôties,16,poulet,dextrose de maïs,sel,crème légère,émulsifiant,E472e,amidon modifié de maïs,stabilisants,pectine,carraghénanes,dextrose de maïs,sel,matière grasse de poulet,arôme naturel,viande de poulet";"Côté Table,Marque Repère";"Leclerc";"96.03333";"6.8";"1.7";"12.5";"0.7";"1.2";"0.27755905511811024";"0.705";"1.5";"0";"https://static.openfoodfacts.org/images/products/356/470/065/6655/front_fr.7.400.jpg"
"3564700426906";"Gratin au Saumon et aux Epinards";"France";"Pomme de terre,eau,épinards,saumon rose du Pacifique,crème,saumon atlantique fumé,emmental,lait écrémé en poudre,amidon de tapioca,assaisonnement,préparation à base de fromage,amidon de riz,préparation à base de jus de citron concentré,sel,saumon atlantique,sel,sel,farine de blé,épices et aromates,jaune d’œuf en poudre,fromage,eau,beurre,protéines de lait,lactosérum en poudre,sel de fonte,E331,E452,xylose,gélifiant,carraghénanes,sel,eau,jus de citron concentré,pulpe de citron,extraits de citron";"Coté Table,Marque Repère";"Leclerc";"102.72222";"6";"4.5";"8.5";"2.5";"1.5";"0.213";"0.54102";"1.5";"0";"https://static.openfoodfacts.org/images/products/356/470/042/6906/front_fr.3.400.jpg"
"3564700018453";"Paella Royale, Surgelé";"France";"Riz précuit cuisiné,fruits de mer,moules décoquillées cuite,aiguillettes de poulet cuites traitées en salaison,eau,colin d'Alaska,petits pois,oignons préfrits à l'huile de tournesol,poivrons rouge pré-frits a l'huile de tournesol,chorizo,poivrons vert,poivrons jaunes,fumet de crustacés aromatisée,assaisonnement,huile d'olive vierge extra,huile de tournesol,arôme naturel d'ail,arôme,dont lactose,eau,riz,sel,curcuma,anneaux d'encornet,crevettes décortiquées cuite,crevette,eau,sel,chaire de moule,eau,sel,filet de poulet,eau,sel dextrose,maigre et gras de porc,piment,sel,lactose,épices,dextrose,conservateur,E301,E250,ferments,lactose,maltodextrine,arômes naturels,sel,sucre,farine de blé,huile de palme,tomate,extrait de betterave rouge,crustacé en poudre et extrait de crustacé,poisson en poudre,aromate,colorant E160c,sel,épices et aromate,sucre,oignons,colorants E160c,E100,extrait d’épices,amidon transformé de manioc,fécule de pomme de terre,lactose,maltodextrine,poisson en poudre,arômes,dextrose";"Côté Table,Marque Repère,Scamark (Filiale E. Leclerc)";"Leclerc";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"https://static.openfoodfacts.org/images/products/356/470/001/8453/front_fr.6.400.jpg"
"3564700011867";"Croquettes de poisson ail et fines herbes";"France";"Chair de poisson blanc,panure,eau,huile de tournesol,farine de blé,flocons de pomme de terre,amidon de pomme de terre,fines herves,fibres de pois,sel,purée d'ail,acidifiant,acide citrique,farine de blé,eau,sel,levure,persil,ciboulette";"Pêche Océan,Marque Repère";"";"211.65555";"11.9";"9.6";"18.6";"1.2";"4.2";"0.31496062992125984";"0.8";"1.5";"0";"https://static.openfoodfacts.org/images/products/356/470/001/1867/front_fr.9.400.jpg"
"3564700018439";"Torsade à la Carbonara";"France";"Pâtes fusilli précuites,eau,lardons cuits goût fumé,crème,emmental,lactose et protéines de lait,arômes naturels,contient du lait,amidon modifié de manioc,fécule de manioc,sel,poivre,eau,semoule de blé dur,poitrine de porc,sel,dextrose,arôme de fumée,acidifiant,acide citrique,conservateurs,E316,E250";"Côté Table,Marque Repère";"";"158.38333";"5.6";"7.2";"17.3";"3.2";"1.2";"0.27480314960629915";"0.698";"0.9";"0";"https://static.openfoodfacts.org/images/products/356/470/001/8439/front_fr.8.400.jpg"
"3564700018491";"Fricassée de Poulet, Riz et Légumes";"France";"Riz blanc précuit,morceaux de filet de poulet rôti,petits pois,haricots plats,oignons préfrits à l’huile de tournesol,sauce soja,champignons noirs,maïs doux,huile de colza,bouillon,poudre de champignon,poudre d‘oignon,sucre,ail,gingembre,poivre,eau,riz,filet de poulet,maltodextrine,amidon de manioc,sel,dextrose,sirop de glucose,eau,graines de soja,blé,sel,sel,sirop de glucose,sucre,arôme naturel,huile de tournesol,oignon déshydraté,poudre de poireau,épices";"Marque repère,Côté Table";"Leclerc";"133.77777";"6.1";"3.9";"17.8";"0.4";"2.2";"0.31614173228346454";"0.803";"1.2";"0";"https://static.openfoodfacts.org/images/products/356/470/001/8491/front_fr.7.400.jpg"
"3564700076446";"Parmentier de poisson ";"France";"Eau,poisson,flocons de pommes de terre déshydratés,huile végétale de tournesol et/ou colza,préparation lactée grasse,crème fraîche,chapelure,mozzarella,blancs d'oeufs en poudre,fumet de poisson aromatisé,persil,sel,préparation à base d'ail,basilic,arômes,paprika,pommes de terre,émulsifiant,E471,stabilisant,E450,antioxydant,E304,acide citrique,épice,arôme,lactose,huile de palme,protéines de lait,lait écrémé en poudre,dont stabilisant,carraghénanes,farine de blé,levure,sel,épices,dextrose,maltodextrine,poisson en poudre,sel,arômes,extrait de vin blanc,plantes aromatiques,ail,sel,huile de colza,extrait d'épice,antioxydant,E304";"Côté Table,marque repère";"Leclerc";"136.40555";"6.5";"7";"11.2";"1.8";"2.3";"0.23622047244094485";"0.6";"1.4";"0";"https://static.openfoodfacts.org/images/products/356/470/007/6446/front_fr.9.400.jpg"
"3564700068151";"Colin d'Alaska à l'Oseille, Surgelé";"France";"Colin d'Alaska,eau,crème fraîche,vin blanc,oseille,oignons,lait écrémé en poudre,amidon modifié de riz,jus de citron,sel,beurre,fumet de poisson aromatisé,crème,extrait de levure,huile d'olive,arôme naturel,dont poisson,arôme naturel de poisson avec autres arômes naturels,dont crustacés,lactose,crevette en poudre,extrait de crevette,épices et plantes aromatiques,extrait de vin blanc,vinaigre d'alcool,arôme naturel,jus   concentré pulpé de citron,arôme naturel de citron,arôme naturel de poivre,maltodextrine,sel,farine de blé,poisson en poudre,sucre,légumes,oignon,poireau,céleri";"Côté Table,Marque Repère,Scamark (Filiale E. Leclerc)";"Leclerc";"86.0";"9.4";"3.8";"3.5";"2.5";"1.4";"0.3582677165354331";"0.910";"0.5";"2.7";"https://static.openfoodfacts.org/images/products/356/470/006/8151/front_fr.9.400.jpg"
"3564700708163";"Poêlée Parisienne";"France";"Haricots verts coupés,pommes de terre préfrites en cubes,eau,champignons de Paris émincés,carottes en dés,lardons cuits fumés,oignons en dés,huile de tournesol,arômes,persil,gomme guar,pommes de terre,huile de tournesol,dextrose,poitrine de porc,sel,dextrose,arôme de fumée,acidifiant,acide citrique,conservateur,E316,E250,sel,ciboulette,romarin,épaississants,gomme xanthane";"Notre Jardin,Marque Repère";"Leclerc";"81.22222";"2.7";"4.2";"6.9";"1";"0.7";"0.318";"0.80772";"0";"0";"https://static.openfoodfacts.org/images/products/356/470/070/8163/front_fr.7.400.jpg"
"3564700631409";"Poêlée à la savoyarde";"France";"Pommes de terre préfrites,eau,lardons cuits fumés,oignon préfrit,oignon,crème,reblochon,vin blanc,lait demi-écrémé reconstitué,amidon de tapioca,ail,amidon de riz,sel,oignon en poudre,arôme naturel de fromage,arôme de fumée,poivre blanc,pommes de terre,huile de tournesol,poitrine de porc,sel,dextrose,acidifiant,acide citrique,conservateurs,E316,E250,oignon,huile de tournesol,lait cru de vache,sel,ferments lactiques et d'affinage,présure,colorant de croûte,rocou";"Côté Table,Marque Repère";"";"138.07777";"4.4";"7.9";"11.6";"3";"4.5";"0.2767716535433071";"0.703";"1.7";"0";"https://static.openfoodfacts.org/images/products/356/470/063/1409/front_fr.10.400.jpg"
"3564700631379";"4 mini gratins choux-fleurs";"France";"";"Côté Table,Marque Repère";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"https://static.openfoodfacts.org/images/products/356/470/063/1379/front_fr.5.400.jpg"
"3564700608180";"Colin d'Alaska à la Parisienne, Surgelé";"France";"Colin d'Alaska,crème fraîche,eau,champignons de Paris,tomates,carottes,oignons,vin blanc,farine de blé,poireaux,amidon modifié de riz,sel,arômes naturels,dont lactose et gluten,colorant,caramel E150a,arôme naturel de poivre";"Côté Table,Marque Repère,Scamark (Filiale E. Leclerc)";"Leclerc";"80.98333";"9.2";"3.4";"2.8";"2.4";"1.5";"0.2295275590551181";"0.583";"1.1";"23.6";"https://static.openfoodfacts.org/images/products/356/470/060/8180/front_fr.9.400.jpg"
"3564700608142";"Colin d'Alaska à la Moutarde, Surgelé";"France";"Colin d'Alaska,eau,crème fraîche,moutarde à l'ancienne,échalotes,moutarde de Dijon,beurre,amidon modifié de maïs,fumet de poisson aromatisé,crème,extrait de levure,huile d‘olive,arôme naturel,dont poisson,arôme naturel de poisson avec autres arômes naturels,lactose,crevette en poudre,extrait de crevette,épices et plantes aromatiques,extrait de vin blanc,colorant,eau,vinaigre d'alcool,graines et téguments de moutarde,sel,acidifiant,acide citrique,extraits d'épices et de plantes aromatiques,antioxydant,disulfite de potassium,curcuma,eau,graines de moutarde,vinaigre d'alcool,sel,antioxydant,disulfite de potassium,acidifiant,acide citrique,maltodextrine,sel,farine de blé,poisson en poudre,sucre,légumes,poireau,oignon,céleri,caramel,E150a,sel,curcuma";"Côté Table,Marque Repère,Scamark (Filiale E. Leclerc)";"Leclerc";"94.12222";"9.5";"5.4";"1.6";"3.5";"0";"0.3141732283464567";"0.798";"0.7";"0";"https://static.openfoodfacts.org/images/products/356/470/060/8142/front_fr.9.400.jpg"
"3564700608920";"Lasagnes à la Bolognaise";"France";"Sauce à la bolognaise,eau,viande bovine,tomates concassées au jus,double concentré de tomates,céleri,carotte,amidon de maïs,oignons déshydratés,sel,ail,basilic,sucre,huile d'olive,persil,arôme naturel de poivre,assaisonnement,thym en poudre,laurier en poudre.Sauce blanche,eau,lait entier en poudre,crème fraîche,farine de blé,amidon de maïs,sel,arôme naturel de poivre.Pâtes précuites,semoule de blé dur,eau,œuf entier en poudre,blanc d'œuf en poudre,sel,Emmental râpé,dont amidon de pomme de terre,.Pourcentages exprimés sur le produit total,tomates,purée et jus de tomates,acidifiant,acide citrique,affermissant,chlorure de calcium,extrait de levure,amidon de pomme de terre,sel,arôme naturel,tomate en poudre,graisse de poule,viande de bœuf en poudre,thym";"Côté Table,Marque Repère";"";"122.31111";"6";"4.9";"12.6";"2.6";"4";"0.3043307086614173";"0.773";"1.8";"0";"https://static.openfoodfacts.org/images/products/356/470/060/8920/front_fr.8.400.jpg"
"3564700217559";"4 Paniers jambon fromage, Surgelé";"France";"PÂTE FEUILLETÉE,farine de blé,beurre,eau,protéines de blé,sel,dorure,enzymes,protéases. Pourcentage exprimé sur la pâte feuilletée.GARNITURE,eau,jambon cuit standard,crème fraîche,liant,emmental râpé,spécialité fromagère fondue à l'emmental,préparation pour sauce blanche,comté râpé,lait entier en poudre,fromage de chèvre fondu,épaississant,E,protéines de lait,persil,arôme naturel,arôme de fumée,muscade. Pourcentages exprimés sur la garniture,dont colorant,caroténoïdes,œuf,poudre de lait entier,jambon de porc,eau,sirop de glucose,sel,gélatine de porc,stabilisants,E,carraghénanes,dextrose,arômes,conservateurs,ascorbate de sodium,E,amidon modifié de maïs,farine de blé,huile de coco,protéines de lait,emmental,fromage,eau,sels de fonte,E,452,lactosérum en poudre,farine de blé,amidon modifié de mais,matière grasse de coprah,poudre de lait écrémé,sirop de glucose,sel,épices,fromage de chèvre,eau";"Côté Table,Marque Repère";"Leclerc";"276.15555";"7.8";"16.8";"23.3";"11.2";"3.7";"0.42125984251968507";"1.07";"0.7";"0";"https://static.openfoodfacts.org/images/products/356/470/021/7559/front_fr.6.400.jpg"
"3564700217566";"Paniers de fromage de chèvre";"France";"Pâte feuilletée,farine de blé,beurre,eau,protéines de blé,sel,dorure,enzymes,fromage de chèvre,crème fraîche,liant,préparation pour sauce blanche,poudre de lait entier,fromage de chèvre fondu,sel,épaississant,E461,protéines de lait,arôme naturel de poivre,muscade,dont colorant,caroténoïdes,œuf,poudre de lait entier,protéases. Pourcentage exprimé sur la pâte feuilletée. Garniture,eau,amidon modifié de mais,farine de blé,huile de coco,protéines de lait,lactosérum en poudre,farine de blé,amidon modifié de mais,matière grasse de coprah,poudre de lait écrémé,sirop de glucose,sel,épices,fromage de chèvre,eau";"Côté Table,Marque Repère";"Leclerc";"287.8611";"7.6";"18";"23.7";"12.2";"3.7";"0.484";"1.22936";"0.8";"0";"https://static.openfoodfacts.org/images/products/356/470/021/7566/front_fr.9.400.jpg"
"3564700005750";"Macédoine de légumes";"France";"Carottes en dés,navets en dés,haricots verts fin coupés,petits pois doux fin,flageolets verts";"Notre Jardin,Marque Repère";"Leclerc";"63.783333";"3.9";"0.6";"7.7";"0";"3.3";"0.018";"0.04572";"5.9";"0";"https://static.openfoodfacts.org/images/products/356/470/000/5750/front_fr.4.400.jpg"
"3564700005538";"Poêlée des Champs";"France";"Haricots verts coupé,mini,brocoli en fleurettes,mini,oignons en cubes,mini,champignons de paris émincés,mini,poivrons rouges en cubes,mini,. Sachets pour assaisonnement,sel,curry,piment,oignon,poivre,céleri,fenouil";"Notre Jardin,Marque Repère";"Leclerc";"28.666666";"2";"0.5";"3";"0";"1.5";"0.002";"0.00508";"2.5";"0";"https://static.openfoodfacts.org/images/products/356/470/000/5538/front_fr.5.400.jpg"
"3564700000175";"Colin d'Alaska à la Bordelaise, Surgelé (2 personnes)";"France";"Colin d'Alaska,oignons,crème fraîche,eau,farine de blé,huile de colza,vin blanc,persil,amidon de pomme de terre,sirop de glucose,sucre,sel,jus de citron,levure,acidifiant,acide citrique,épices,arôme naturel de limette,paprika,curcuma";"Côté Table,Marque Repère,Scamark (Filiale E. Leclerc)";"Leclerc";"124.93889";"10";"6.5";"6.2";"2.3";"0.5";"0.24606299212598426";"0.625";"0.9";"12";"https://static.openfoodfacts.org/images/products/356/470/000/0175/front_fr.20.400.jpg"
"3564700000489";"Bâtonnets de colin d'Alaska (100% filet)";"France";"Filet de colin d’Alaska,Theragra chalcogrammal,farine de blé,huile de tournesol,eau,amidon de pomme de terre,sel,poivre,levure,paprika. Traces de lait,d'œufs,de céleri et de moutarde";"Marque Repère,Pêche Océan";"Leclerc";"196.12778";"11.8";"8.6";"17.3";"1.1";"1.7";"0.354";"0";"1";"0";"https://static.openfoodfacts.org/images/products/356/470/000/0489/front_fr.4.400.jpg"
"3564700000137";"Lasagnes à la bolognaise";"France";"Sauce à la bolognaise,eau,viande bovine,tomates concassées au jus,double concentré de tomates,céleri,carotte,amidon de maïs,oignons déshydratés,sel,ail,basilic,sucre,huile d'olive,persil,arôme naturel de poivre,assaisonnement,thym en poudre,laurier en poudre.Sauce blanche,eau,lait entier en poudre,crème fraîche,farine de blé,amidon de maïs,sel,arôme naturel de poivre.Pâtes précuites,semoule de blé dur,eau,oeuf entier en poudre,blanc d'oeuf en poudre,sel.Emmental râpé,dont amidon de pomme de terre,tomates,purée et jus de tomates,acidifiant,acide citrique,affermissant,chlorure de calcium,extrait de levure,amidon de pomme de terre,sel,arôme naturel,tomate en poudre,graisse de poule,viande de boeuf en poudre,thym";"Côté Table,Marque Repère";"";"113.47222";"5.8";"4.6";"11.5";"2.3";"3.6";"0.32677165354330706";"0.83";"1.5";"0";"https://static.openfoodfacts.org/images/products/356/470/000/0137/front_fr.9.400.jpg"
"3564700259047";"Poêlée à la Paysanne, Pommes de terre, poulet et lardons";"France";"Pommes de terre préfrites,champignons de Paris,oignons préfrits,lardons fumés,morceaux de filet de poulet,emmental,dont amidon de pomme de terre,huile de colza,persil,assaisonnement en poudre,protéines de blé hydrolysées,sel,maltodextrine,chapelure,paprika en poudre,oignon en poudre,arôme naturel d'oignon,pommes de terre,huile de tournesol,oignons,huile de tournesol,poitrine de porc,sel,dextrose,antioxydant,E330,conservateurs,E316,E250,filet de poulet,amidon de manioc,sel,extrait de levure,sel,sirop de glucose,arôme,huile de tournesol,farine de blé,levure,sel";"Côté Table,Marque Repère";"Leclerc";"148.11111";"5.2";"8.3";"11.5";"2.1";"1.8";"0.28464566929133855";"0.723";"3.6";"0";"https://static.openfoodfacts.org/images/products/356/470/025/9047/front_fr.21.400.jpg"
"3564700494998";"Coté Table Poêlée à la Landaise";"France";"Pommes de terre pré-fritée à l'huile de tournesol,dont dextrose,haricots verts précuits,champignons émincés,gésiers de canard confit émincés,oignons pré-frits à l'huile de tournesol,magret de canard cuit traité en salaison et émincé,ail,persil,huile de tournesol,dextrose,ail en poudre,amidon de riz,extrait naturel d'oignon,poivre blanc,gésier de canard,sel,conservateur,nitrite de sodium,poivre,magret de canard,sel,conservateur,nitrite de sodium,dextrose,antioxygène,acide ascorbique,extrait naturel d'épice,fumée liquide";"coté table,marque repère";"leclerc";"162.44444";"4.5";"8";"17";"2";"4.5";"0.459";"0";"2.5";"0";"https://static.openfoodfacts.org/images/products/356/470/049/4998/front_fr.5.400.jpg"
"3564700158951";"Pâtes avec Saumon et Colin d'Alaska";"France";"Pâtes conchiglie précuites,eau,tomate,courgette,colin d‘Alaska,Theragra chalcogramma,saumon atlantique,Salma salar,carotte,poireau,crème fraîche,oignon,vin blanc,beurre,poudre de lait écrémé,fumet de poisson aromatisé,crème,extrait de levure,huile d'olive,arôme naturel,dont poisson,arôme naturel de poisson avec autres arômes naturels,dont crustacés,lactose,crevette en poudre,extrait de crevette,épices et plantes aromatiques,extrait de vin blanc,amidon modifié de riz,jus de citron à base de concentré,vinaigre d‘alcool,persil,huile de tournesol,arôme naturel de poivre,estragon,épaississant,gomme xanthane,curcuma,eau,semoule de blé dur,maltodextrine,sel,farine de blé,poisson en poudre,sucre,légumes,oignon,poireau,céleri";"Côté Table,Marque Repère";"Leclerc";"129.95555";"6.4";"4.9";"14.3";"2.7";"3.4";"0.13976377952755903";"0.355";"1.4";"0";"https://static.openfoodfacts.org/images/products/356/470/015/8951/front_fr.10.400.jpg"
"3564700157923";"Poêlée Bretonne";"France";"";"Notre Jardin,Marque Repère";"";"61.155556";"2.9";"3.2";"2.4";"0.8";"2.1";"0.32874015748031493";"0.835";"5.9";"0";"https://static.openfoodfacts.org/images/products/356/470/015/7923/front_fr.8.400.jpg"
"3564707098892";"Ratatouille cuisinée surgelée";"France";"Légumes,eau,huile d'olive vierge extra,double concentré de tomates,sel,sucre,arôme naturel,ail en poudre,thym,poivre,tomates,courgettes,aubergines grillées,oignons,poivrons jaunes,poivrons rouges";"Bio Village,Marque Repère";"Leclerc";"59.72222";"1";"3.8";"4.7";"0.6";"3.3";"0.30314960629921256";"0.77";"1.5";"0";"https://static.openfoodfacts.org/images/products/356/470/709/8892/front_fr.9.400.jpg"
