The following table compares the operating system support and basic features of various [[Universal_Plug_and_Play#Media_server|UPnP AV media server]]s.
|C++
|{{unknown}}
|{{Yes}}
|-
![[FUPPES]]
|GPL
|{{Free}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Partial}}
|{{unknown}}
|C++
|{{unknown}}
|{{No}}
|-
![[GeeXboX|GeeXboX uShare]]
|GPL
|{{Free}}
|{{No}}
|{{Yes}}<ref name="GeeXboX">GeeXboX is provided as its own Linux distribution</ref>
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|C
|{{unknown}}
|{{unknown}}
|-
![[Gmediaserver]]
|GPL
|{{Free}}
|{{No}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{No}}
|{{No}}
|{{unknown}}
|{{unknown}}
|C
|{{unknown}}
|{{unknown}}
|-
![[Home Media Center]]<ref>http://hmc.codeplex.com</ref>
|GPLv2
|{{Free}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|C++ / C#
|{{Yes}}
|{{Yes}}
|-
![[iSedora Media Server]]
|Prop.
|{{nonfree}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|Objective C / C++ / JavaScript
|{{unknown}}
|{{Yes}}
|-
![[Jamcast]]
|Prop.
|{{free}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{unknown}}
|C++ / C# / Java
|{{unknown}}
|{{Yes}}
|-
![[JRiver Media Center]]
|Prop.
|{{nonfree}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|C++
|{{Yes}}
|{{Yes}}
|-
![[Kodi Entertainment Center]]
|GPL
|{{Free}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}} <ref name="XBMCPictures">This feature is not in the latest stable release of XBMC but is available in the latest nightly releases.</ref>
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|C++
|{{Yes}}
|{{Yes}}
|-
![[KooRaRoo Media]]
|Prop.
|{{nonfree}}<ref>Free version available with [http://www.kooraroo.com/compare_features.php fewer features].</ref>
|{{Yes}}<ref>Run on MAC OS X using [http://winebottler.kronenberg.org WineBottler]</ref>
|{{Yes}}<ref>Run on *nix systems using [http://www.winehq.org Wine]</ref>
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|C++
|{{Yes}}<ref name="KooRaRoo-Subtitles">Supports streaming external subtitles (SRT, SMI, SUB), embedded subtitles and burning-in subtitles (including DVD graphical subtitles) on devices that don't support external subtitles.</ref>
|{{Yes}}
|-
![[LimboMedia]]
|Prop.
|{{Free}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|Java
|{{Yes}}
|{{Yes}}
|-
![[LXiMedia]]
|GPL
|{{Free}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}, mandatory
|{{Yes}}
|{{Yes}}
|{{unknown}}
|C++
|{{Yes}}
|{{unknown}}
|-
![[Majestic Media Server]]
|Prop.
|{{nonfree}}
|{{Yes}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{unknown}}
|{{unknown}}
|{{unknown}}
|{{unknown}}
|{{unknown}}
|-
![[MediaMonkey]]
|Prop.
|{{nonfree}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|Delphi
|{{Yes}}
|{{Yes}}
|-
![[MediaTomb]]
|GPL
|{{Free}}
|{{Partial}}<ref name="MediaTomb">Mac support provided by [[Fink]] at [http://pdb.finkproject.org/pdb/package.php/mediatomb http://pdb.finkproject.org/pdb/package.php/mediatomb]</ref>
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|C++
|{{unknown}}
|{{unknown}}
|-
![[ReadyMedia (formerly MiniDLNA)]]
|GPL/BSD
|{{Free}}
|{{Partial}}<ref name="minidlna Mac OS X">Patches can be found at [https://sourceforge.net/projects/minidlna/forums/forum/879956/topic/3412747]</ref>
|{{Yes}}
|{{Yes}}<ref name="minidlna cygwin">See [https://sourceforge.net/projects/minidlna/forums/forum/879956/topic/4397860]</ref>
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Partial}}<ref name="minidlna transcode">Patches and discussion at [https://sourceforge.net/tracker/index.php?func=detail&aid=3193201&group_id=243163&atid=1121518], and branched version to handle transcoding at [https://bitbucket.org/stativ/readymedia-transcode]</ref>
|{{Partial}}<ref name="minidlna web interface">Web interface supported via a [[Webmin]] module, see [https://sourceforge.net/projects/minidlnawebmin/]</ref>
|{{Yes}}
|{{unknown}}
|C
|{{Yes}}
|{{unknown}}
|-
![[Mezzmo]]
|Prop.
|{{nonfree}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|C++
|{{Yes}}
|{{Yes}}
|-
![[myiHome]]
|Prop.
|{{Free}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{No}}
|{{unknown}}
|{{unknown}}
|Java
|{{unknown}}
|{{unknown}}
|-
![[MythTV with uPnP]]
|GPL
|{{Free}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|{{unknown}}
|C++
|{{unknown}}
|{{unknown}}
|-
![[Nullriver Medialink]]
|Prop.
|{{nonfree}}
|{{Yes}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{unknown}}
|{{unknown}}
|{{Yes}}
|{{unknown}}
|-
![[PlayOn]]
|Prop.
|{{nonfree}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|C#
|{{Partial}}<ref name="PlayOn-Subtitles">Only on selected renderers, both embedded subtitles and external SRT</ref>
|{{unknown}}
|-
![[Plex_(software)|Plex]]
|Prop.
|{{Free}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|C++ / Python
|{{Yes}}
|{{Yes}}
|-
![[PS3 Media Server]]
|GPL
|{{Free}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}<ref name="PS3 Media Server">A WIP limited web interface for the optional media library exists in the latest betas.</ref>
|{{Yes}}
|{{Yes}}
|Java
|{{Yes}}
|{{Yes}}
|-
![[PyMedS]]
|MIT
|{{Free}}
|{{Partial}}<ref name="Python" />
|{{Partial}}<ref name="Python" />
|{{No}}
|{{unknown}}
|{{unknown}}
|{{unknown}}
|{{Yes}}<ref name="PyMedSOTF">Uses ffmpeg for video only</ref>
|{{No}}
|{{unknown}}
|{{unknown}}
|Python
|{{unknown}}
|{{unknown}}
|-
![[Rygel]]
|LGPLv2
|{{Free}}
|{{No}}
|{{Yes}}
|{{No}} <ref name="Rygel">Preliminary experimental support available, see http://jensge.org/2010/04/1-21-gigawatts/</ref>
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|Vala
|{{unknown}}
|{{Yes}}
|-
![[Rivet]]<ref name="Rivet">Discontinued paid version as of 21 July 2011 see [http://thelittleappfactory.com/rivet/]. A free, but unsupported, version is still available.</ref>
|Prop.
|{{Free}}
|{{Yes}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{No}}
|{{unknown}}
|{{unknown}}
|{{unknown}}
|{{unknown}}
|{{No}}
|-
![[Serviio]]
|Prop.
|{{nonfree}}<ref>Free version available with fewer features</ref>
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}<ref name="Serviio-WebUI">Via 3rd party add-ons</ref>
|{{Yes}}
|{{Yes}}
|Java
|{{Partial}}<ref name="Serviio-Subtitles">Only on selected renderers, and never for embedded subtitles (external SRT only) [http://www.serviio.org/index.php?option=com_content&view=article&id=33 http://www.serviio.org/index.php?option=com_content&view=article&id=33]</ref>
|{{unknown}}
|-
![[SimpleCenter Premium]]
|Prop.
|{{nonfree}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|{{unknown}}
|{{unknown}}
|{{unknown}}
|{{unknown}}
|-
![[Skifta]]
|Prop.
|{{Free}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{No}}
|{{Yes}}
|{{unknown}}
|Java
|{{unknown}}
|{{unknown}}
|-
! [[Songbird (software)|Songbird]]
|GPLv2
|{{Free}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|C++
|{{No}}
|{{No}}<ref name="Discontinued June 2013"> Development discontinued in June 2013 http://web.archive.org/web/20130921202235/http://blog.songbirdnest.com/</ref>
|-
![[TVble]]
|Prop.
|{{Free}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{No}}
|C#/C++
|{{unknown}}
|{{Yes}}
|-
![[TVersity]]
|Prop.
|{{nonfree}}<ref>Free version available with fewer features</ref>
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|{{unknown}}
|{{Yes}}
|{{Yes}}
|-
![[TVMOBiLi]]
|Prop.
|{{nonfree|<ref>Streaming first 10GByte per month is free of charge.</ref>}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Partial}}
|C++
|{{Yes}}
|{{Yes}}
|-
![[TVShare]]
|Prop.
|{{nonfree}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{unknown}}
|{{unknown}}
|Java
|{{unknown}}
|{{unknown}}
|-
![[TwonkyMedia server]]
|Prop.
|{{nonfree}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Partial}}<ref name="TwonkyMedia">Transcoding supported in TMS 5.0 and later on the PC. Must download FFmpeg, VLC or other 3rd-party transcoding engines to use</ref>
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|{{unknown}}
|{{Yes}}
|-
![[Universal Media Server]]
|GPL
|{{Free}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|Java
|{{Yes}}
|{{Yes}}
|-
![[Windows Media Connect]]
|Prop.
|{{Free}} <ref name="WMC">Must purchase a [[Microsoft Windows]] license to use</ref>
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}} <ref>http://blogs.msdn.com/b/e7/archive/2009/05/12/media-streaming-with-windows-7.aspx</ref>
|{{No}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|{{unknown}}
|{{Yes}}
|-
![[Wild Media Server]]
|Prop.
|{{nonfree}}
|{{Yes}}<ref>MAC OS X using [http://winebottler.kronenberg.org WineBottler ]</ref>
|{{Yes}}<ref>UNIX-like systems by using [http://www.winehq.org Wine]</ref>
|{{Yes}} 
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|Delphi
|{{Yes}}
|{{Yes}}
|-
![[xupnpd]]
|GPLv2
|{{Free}}
|{{No}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{unknown}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|C++
|{{unknown}}
|{{unknown}}
|-
![[Yazsoft Playback]]
|Prop.
|{{nonfree}}
|{{Yes}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{No}}
|{{unknown}}
|{{unknown}}
|{{unknown}}
|{{unknown}}
|{{No}}
|-
!Name
!License
!Cost
!OS X
!Unix-like
!Windows
!Audio
!Images
!Video
![[Transcoding]]
!Web Interface
![[DLNA]] support
![[Multilingual]]<ref name="Multilingual" />
!Implementation
!Subtitles<ref name="Subtitles" />
!Still Supported
|}

==See also==
* [[List of UPnP AV media servers and clients]]
* [[Comparison of set-top boxes]]
* [[Universal Plug and Play]]
* [[Digital Living Network Alliance]]

==Notes==

{{reflist}}

[[Category:Software comparisons|UPnP AV MediaServers]]
[[Category:Digital media]]
[[Category:Media servers]]
