<!-- This article is limited only to comparison tools that have a separate article on Wikipedia. Please do not add examples  without an existing Wikipedia article. If you want to add a notable comparison tool to this article please write a separate article on the comparison tool first and then link to it from this page.  -->
{{Main|Data comparison}}
| {{Yes}} (DOS)
| {{No}}
| {{No}}
|
|
|-
! {{rh}} | [[Apple Developer Tools#FileMerge|FileMerge]]
| [[Apple Inc.]]
| {{no}}; Proprietary
| {{yes}}; (part of [[Apple Developer Tools]])
| 1993 (part of [[NEXTSTEP]] 3.2<ref>{{cite journal|author1=NeXT Product Marketing|title=What's New in Release 3.2?|journal=NEXTSTEP In Focus|date=Fall 1993|volume=3|issue=4|url=http://cdn.preterhuman.net/texts/computing/nextstep-openstep/NEXTSTEP_In_Focus/InFocusFall1993/1489_Whats_New_in_Release_3.2.rtf|accessdate=18 July 2014|publisher=NeXT Computer, Inc.}}</ref>)
| 2014 (v2.8)
| {{No}}
| {{Yes}} (Mac OS X)
| {{No}}
|
|
|-
! {{rh}} | [[Guiffy SureMerge]]
| Guiffy Software<ref name="Guiffy Software">[http://www.guiffy.com/ Guiffy Software]</ref>
| {{no}}; Proprietary
| {{no}}; $37.50(Pro), 75(eXpert)
| 2000
| 2015 March (v11.1)
| {{Yes}}
| {{Yes}}
| {{Yes}}
| Anything with [[Java (programming language)|Java]]
| > 2GB
|-
! {{rh}} | [[IntelliJ IDEA]] (compare)
| JetBrains<ref name="JetBrains">[http://www.jetbrains.com/ JetBrains]</ref>
| {{no}}; Proprietary
| {{no}}
|
| 2007 (v6.0.5)
| {{Yes}}
| {{Yes}}
| {{Yes}}
|
|
|-
! {{rh}} | [[jEdit#Plugins|jEdit JDiff plugin]]
| Various<ref name="jedit">[http://www.jedit.org jedit.org]</ref>
| {{yes}}; GPL
| {{yes}}
| 1998
| 2012 (3.3.0)
| {{Yes}}
| {{Yes}}
| {{Yes}}
| Anything with [[Java (programming language)|Java]]
|
|-
! {{rh}} | KDiff3<ref name="kdiff3">[http://kdiff3.sourceforge.net/ kdiff3]</ref>
| Joachim Eibl
| {{yes}}; [[GNU General Public License|GPL]]
| {{yes}}
| 2002
| 2014-07 (0.9.98)
| {{Yes}}
| {{Yes}}
| {{Yes}}
| Qt4 or Qt5
|
|-
! {{rh}} | [[Kompare]]
| Otto Bruggeman<ref name="Otto Bruggeman">[http://www.caffeinated.me.uk/kompare/ Otto Bruggeman]</ref>
| {{yes}}; [[GNU General Public License|GPLv2+]]
| {{yes}}
|
| 
| {{Yes}} <ref name="Installing Kompare in Windows">[http://heresylabs.blogspot.pt/2009/07/kompare-only-valuable-diff-for-mwindows.html Installing Kompare in Windows]</ref>
| {{Yes}} (Mac OS X)
| {{Yes}}
|
|
|-
! {{rh}} | [[Lazarus (software)|Lazarus]] Diff
| [[Lazarus (software)]]
| {{yes}}; GPL
| {{yes}} 
| 2000
| 2009
| {{Yes}}
| {{Yes}}
| {{Yes}}
| FreeBSD
|
|-
! {{rh}} | [[Meld (software)|Meld]]
| Stephen Kennedy<ref name="Stephen Kennedy">[http://meld.sourceforge.net/ Stephen Kennedy]</ref>
| {{yes}}; [[GNU General Public License|GPLv2+]]
| {{yes}}
| 2002
| 2014-12-30 (v3.12.3)
| {{Yes}}<ref>[http://live.gnome.org/Meld/Windows Meld/Windows]</ref>
| {{Yes}}
| {{Yes}}
| [[Berkeley Software Distribution|BSD]], [[Solaris (operating system)|Solaris]]
|
|-
! {{rh}} | [[Notepad++|Notepad++ (compare)]]
| Various
| {{yes}}; [[GNU General Public License|GPLv3]]
| {{yes}}
| 2009
| 2015-01-06 (1.5.6.6)
| {{Yes}}<ref>[https://bitbucket.org/uph0/compare Notepad++ compare plugin]</ref>
| {{No}}
| {{No}}
|
|
|-
! {{rh}} | [[Perforce|Perforce P4Merge]]
| [[Perforce]]
| {{no}}; Proprietary
| {{yes}}
|
| 2014 (2014.3)
| {{Yes}}
| {{Yes}}
| {{Yes}}
| Sun Solaris
|
|-
! {{rh}} | [[Pretty Diff]]
| Austin Cheney<ref>[http://prettydiff.com/ Pretty Diff]</ref>
| {{no}}; MIT-compatible
| {{yes}}
| 2009
| 2014-11-26
| {{Yes}} ([[World Wide Web|Web]])
| {{Yes}} ([[World Wide Web|Web]])
| {{Yes}} ([[World Wide Web|Web]])
| [[Node.js]], [[Windows Script Host]]
|
|-
! {{rh}} | [[Tkdiff]]
| Tkdiff<ref name="Tkdiff">[http://tkdiff.sourceforge.net/ tkdiff]</ref>
| {{yes}}; [[GNU General Public License|GPLv2+]]
| {{yes}}
| 2003 (or before)
| 2011-11-27 (v4.2)
| {{Yes}} ([[Tcl]])
| {{Yes}} (Tcl)
| {{Yes}} (Tcl)
| Anything with Tcl
|
|-
! {{rh}} | [[Total Commander]] (compare)
| Christian Ghisler<ref name="Christian Ghisler">[http://www.ghisler.com/ Christian Ghisler]</ref>
| {{no}}; Proprietary
| {{no}}
|
| 2010-12-17 (v7.56a)
| {{Yes}}
| {{No}}
| {{No}}
|
|
|-
! {{rh}} | [[TextWrangler|twdiff]] (TextWrangler Diff Helper)
| Bare Bones Software, Inc.<ref>[http://www.barebones.com/ Bare Bones Software, Inc.]</ref>
| {{no}}; Proprietary
| {{yes}}; with [[TextWrangler]]
|  
| 2012 (1.0 (v22))
| {{No}}
| {{Yes}}
| {{No}}
| {{No}}
|
|-
! {{rh}} | [[vim (text editor)#Features and improvements over vi|vimdiff]]
| [[Bram Moolenaar]] et al.
| {{no}}; GPL-compatible
| {{yes}}
| 2001
| 2006-05-07 (v7.0)
| {{Yes}}
| {{Yes}}
| {{Yes}}
| Anything with [[vim (text editor)|vim]]
|
|-
! {{rh}} | [[WinDiff]]
| Microsoft<ref>[http://support.microsoft.com/kb/159214 Microsoft]</ref>
| {{no}}; Proprietary
| {{yes}}; Part of Platform SDK
| 1992
| 16.08.2002 14:36:14 (v5.00.2195.6601)
| {{Yes}}
| {{No}}
| {{No}}
| {{No}}
|
|-
! {{rh}} | [[WinMerge]]
| Dean Grimm<ref>[http://winmerge.org/ Dean Grimm]</ref>
| {{yes}}; GPL
| {{yes}}
| 1998
| 2013-02-03 (v2.14.0)
| {{Yes}} ([[Windows 95|Win95]] and up)
| {{No}}
| {{No}}
| 
| 2 GB
|-
! {{rh}} | [[Unified Code Count (UCC)|UCC]]
| USC CSSE<ref>[http://sunset.usc.edu/research/CODECOUNT/ USC CSSE]</ref>
| {{no}}; USC-CSSE Limited Public License
| {{yes}}
| 2009
| 2010-07
| {{Yes}}
| {{Yes}}
| {{Yes}} {2.6.9}
| Sun Solaris
|
|-
! {{rh}} | [[UltraCompare]]
| IDM Computer Solutions, Inc.<ref name="IDM Computer Solutions, Inc.">[http://www.ultraedit.com/company/contact_us.html UltraEdit]</ref>
| {{no}}; Proprietary
| {{no}}; $24.95, 30-day free trial<ref>[http://www.ultraedit.com/downloads/ultracompare_download.html UltraCompare Downloads]</ref>
| 
| 2014 (v15)
| {{Yes}}
| {{Yes}}
| {{Yes}}
|
|
|-
|-

|-
! Name
! Creator
! [[FOSS]]
! Free
! First public release date
! Year of latest stable version
! Windows
! Macintosh
! Linux
! Other platforms
! Max Supported File Size
|}

==Compare features==
{| class="wikitable sortable"
|-
! style="width:12em" | Name
! Show in-line changes
! Directory comparison
! Binary comparison
! Moved lines
! 3-way comparison
! Merge
! Structured comparison<ref name="ReferenceA">Compare logical sections (class, methods)</ref>
! Manual compare aligment
|-
! {{rh}} | [http://www.araxis.com/merge Araxis Merge]
| {{yes}}
| {{yes}}
| {{yes}}
| {{yes}}
| {{yes}}
| {{yes}}
| {{no}}
|
|-
! {{rh}} | [[Beyond Compare]]
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{No}}
| {{Yes}} (Files and Folders)
| {{Yes}} (Pro only)
|
| {{Yes}}
|-
! {{rh}} | [[Compare++]]
| {{Yes}}
| {{Yes}}
|
|
| {{Yes}}
| {{Yes}}
| {{Yes}} (C/C++,C#,Java,Javascript,CSS3)
|
|-
! {{rh}} | [[diff]]
| {{No}}
| {{Yes}}
| partly
| {{No}}
| {{No}}
| {{No}}
|
|
|-
! {{rh}} | [[diff3]]
| {{No}}
| {{No}}
|
|
| {{Yes}} (non-optional)
|
|
|
|-
! {{rh}} | SG DiffMerge
| {{Yes}}
| {{Yes}}
|
|
| {{Yes}}
| {{Yes}}
|
| {{Yes |line alignment marker}}
|-
! {{rh}} | DiffTool
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{No}}
| {{No}}
| {{Yes}} (folders)
|
|-
! {{rh}} | Diffuse
| {{Yes}}
| {{No}}
|
|
| {{No|''arbitrary'' file diffs, but not a 3-way diff}}
| {{Yes}}
|
| {{Yes| line alignment, isolate}}
|-
! {{rh}} | [[Eclipse (software)|Eclipse]] (compare)
| {{Yes}}
| 
|
|
| {{Yes}}
| {{Yes}}
|
| {{No}}
|-
! {{rh}} | [[Ediff]]
| {{Yes}}
| {{Yes}}
| {{Yes}}
|
| {{Yes}}
| {{Yes}}
|
|
|-
! {{rh}} | [[ExamDiff Pro]]
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{Yes}}<ref>[http://blog.prestosoft.com/2008/09/moved-blocks.html Examdiff]</ref>
| {{Yes}} (ExamDiff Pro Master, only) <ref>[http://www.prestosoft.com/edp_features.asp  Examdiff]</ref>
| {{Yes}}
|
| {{Yes |manual synchronization}}
|-
! {{rh}} | [[Far Manager]] (compare)
| {{Yes}} (Via plugin) <ref>[http://forum.farmanager.com/viewtopic.php?f=11&t=5193 Visual Rename]</ref>
| {{Yes}}
| {{Yes}}
| {{Yes}} (Via plugin) <ref>[http://forum.farmanager.com/viewtopic.php?f=11&t=5193 Visual Rename]</ref>
| {{No}}
| {{No}}
|
|
|-
! {{rh}} | [[Microsoft File Compare|fc]]
| {{No}}
| {{No}}
| {{Yes}}
|
| {{No}}
| {{No}}
|
|
|-
! {{rh}} | [[Apple Developer Tools#FileMerge|FileMerge]]
| {{Yes}}
| {{Yes}}
| {{Yes}}
|
| {{Yes}} (optional ancestor)
| {{Yes}}
|
|
|-
! {{rh}} | [[Guiffy SureMerge]]
| {{Yes}}
| {{Yes}}
|
|
| {{Yes}}
| {{Yes}}
|
| {{Yes}}
|-
! {{rh}} | [[IntelliJ IDEA]] (compare)
| {{Yes}}
|
|
|
| {{Yes}}
| {{Yes}}
|
|
|-
! {{rh}} | [[jEdit|jEdit JDiff plugin]]
| {{Yes}}
|
|
|
| {{No}}
| {{Yes}}
|
|
|-
! {{rh}} | KDiff3
| {{Yes}}
| {{Yes}}
|
|
| {{Yes}}
| {{Yes}}
|
| {{Yes| alignment marker, split/join}}
|-
! {{rh}} | [[Kompare]]
|
| {{Yes}}
| {{No}}
|
| {{No}}
|
|
|
|-
! {{rh}} | [[Lazarus (software)|Lazarus]] Diff
|
|
|
|
|
|
|
|
|-
! {{rh}} | [[Meld (software)|Meld]]
| {{Yes}}
| {{Yes}}
| {{No}}
| {{No}}
| {{Yes}}
| {{Yes}}
|
| {{Yes| line alignment, unlink scroll}}
|-
! {{rh}} | [[Notepad++|Notepad++ (compare)]]
| {{Yes}}
| {{No}}
| {{No}}
| {{Yes}}
| {{No}}
| {{No}}
| {{No}}
|-
! {{rh}} | [[Perforce|Perforce P4Merge]]
| {{Yes}}
| {{No}}
| {{No}}
|
| {{Yes}}
| {{Yes}}
|
|
|-
! {{rh}} | [[Pretty Diff]]
| {{Yes}}
| {{Yes}}
| {{No}}
| {{No}}
| {{No}}
| {{No}}
| {{Yes}}
| {{No}}
|-
! {{rh}} | [[Tkdiff]]
| {{Yes}}
| {{No}}
| {{No}}
| {{No}}
| {{No}}
| {{No}}
|
|
|-
! {{rh}} | [[Total Commander]] (compare)
| {{Yes}}
| {{Yes}}
| {{Yes}}
|
| {{No}}
| {{Yes}}
|
| {{Yes| resync comparasion}}
|-
! {{rh}} | [[vim (text editor)#Features and improvements over vi|vimdiff]]
| {{Yes}}
| {{Yes}} (via DirDiff plugin)
|
|
| {{No| can do 2, 3, or 4 file diffs, but not a 3-way diff}}
|
|
|
|-
! {{rh}} | WinDiff
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{No}}
| {{No}}
|
|
|-
! {{rh}} | WinMerge
| {{Yes}}
| {{Yes}}
| {{No}}
| {{Yes}}
| {{No}}
| {{Yes}}
|
| {{No}}
|-
! {{rh}} | [[Unified Code Count (UCC)|UCC]]
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{No}}
| {{Yes}}
|
|
|- style="background: #ececec;" class="sortbottom"
! style="width:12em" | Name
! Show in-line changes
! Directory comparison
! Binary comparison
! Moved lines
! 3-way comparison
! Merge
! Structured comparison<ref name="ReferenceA"/>
|}

==API / editor features==
{| class="wikitable sortable"
|-
! style="width:12em" | Name
! [[Graphical User Interface|GUI]]
! [[Command Line Interface|CLI]]
! Scripting
! Horizontal / Vertical
! Syntax Highlighting
! Reports
|-

! {{rh}} | [http://www.araxis.com/merge Araxis Merge]
| {{yes}}
| {{yes}}
| {{yes}}
| {{yes}}
| {{yes}}
| {{yes}}
|-

! {{rh}} | [[Beyond Compare]]
| {{Yes}}
| {{Yes}}
| {{Yes}}
| both
| {{Yes}}
| {{Yes|XML, HTML, CSV, Text, Unix Patch}}
|-
! {{rh}} | [[Compare++]]
| {{Yes}}
| {{Yes}}
|
| both
| {{Yes}}
| {{Yes|HTML, Text(combined or side-by-side) }}
|-
! {{rh}} | [[diff]]
| {{No}}
| {{Yes}}
|
| horizontal
| {{yes}} pipe to diff-highlight<ref>https://github.com/git/git/tree/master/contrib/diff-highlight</ref>
|
|-
! {{rh}} | [[diff3]]
| {{No}}
| {{Yes}}
|
| horizontal
|
|
|-
! {{rh}} | SG DiffMerge
| {{Yes}}
| {{Yes}}
|
| both
| {{No}}
| {{Yes |HTML, Text(unified, traditional or side-by-side)}}
|-
! {{rh}} | DiffTool
| {{Yes}}
| {{Yes|by Intent()}}
| {{Yes}}
| landscape + portrait
| 
| {{Yes|Text}}
|-
! {{rh}} | Diffuse
| {{Yes}}
| {{Yes}}
|
| vertical
| {{Yes}}
| 
|-
! {{rh}} | [[Eclipse (software)|Eclipse]] (compare)
| {{Yes}}
|
|
| vertical
| {{Yes}}
|
|-
! {{rh}} | [[Ediff]]
| {{Yes}}
| {{Yes}}
| {{Yes|elisp}}
| both
| {{Yes}}
|
|-
! {{rh}} | [[ExamDiff Pro]]
| {{Yes}}
| {{Yes}}
|
| optional
| {{Yes}}
| {{Yes|UNIX, HTML, Diff}}
|-
! {{rh}} | [[Far Manager]] (compare)
| {{Yes}}
| {{Yes}}
| {{Yes}}
|
| {{Yes}}
| {{No}}
|-
! {{rh}} | [[Microsoft File Compare|fc]]
| {{No}}
| {{Yes}}
|
| horizontal
|
|
|-
! {{rh}} | [[Apple Developer Tools#FileMerge|FileMerge]]
| {{Yes}}
| {{Yes}}
|
| vertical
| {{Yes}}
| {{No}}
|-
! {{rh}} | [[Guiffy SureMerge]]
| {{Yes}}
| {{Yes}}
| {{Yes|Java API}}
| both
| {{Yes}}
|  {{Yes|HTML, Text, Unix Patch}}
|-
! {{rh}} | [[IntelliJ IDEA]] (compare)
| {{Yes}}
|
|
| vertical
| {{Yes}}
|
|-
! {{rh}} | [[jEdit|jEdit JDiff plugin]]
| {{Yes}}
|
|
| both
| {{Yes}}
|
|-
! {{rh}} | KDiff3
| {{Yes}}
| {{Yes}}
|
| vertical
| {{No}}
| 
|-
! {{rh}} | [[Kompare]]
| {{Yes}}
|
|
| vertical
| {{No}}
|
|-
! {{rh}} | [[Lazarus (software)|Lazarus]] Diff
| {{Yes}}
|
|
|
| {{Yes}}
|
|-
! {{rh}} | [[Meld (software)|Meld]]
| {{Yes}}
|
|
| horizontal
| {{Yes}}
| {{No}}
|-
! {{rh}} | [[Notepad++|Notepad++ (compare)]]
| {{Yes}}
| {{Yes}}
|
| both
| {{Yes}}
| {{No}}
|-
! {{rh}} | [[Perforce|Perforce P4Merge]]
| {{Yes}}
| {{Yes}}
|
| vertical
| {{No}}
| {{No}}
|-
! {{rh}} | [[Pretty Diff]]
| {{Yes}}
| {{Yes}}
| {{Yes|JavaScript}}
| Both
| {{Yes}}
| {{Yes| XHTML}}
|-
! {{rh}} | [[Tkdiff]]
| {{Yes}}
|
|
|
|
|
|-
! {{rh}} | [[Total Commander]] (compare)
| {{Yes}}
|
|
| optional
|
|
|-
! {{rh}} | [[vim (text editor)#Features and improvements over vi|vimdiff]]
| {{Yes}}
| {{Yes}}
| {{Yes|vim script}}
| both
| {{Yes}}
| {{Yes|HTML}}
|-
! {{rh}} | WinDiff
| {{Yes}}
| {{Yes}}
|
| horizontal
| {{No}}
| {{Yes|Text}}
|-
! {{rh}} | WinMerge
| {{Yes}}
| {{Yes}}
|
| vertical
| {{Yes}}
| {{Yes|CSV, Tab-delimited, HTML, XML}}
|-
! {{rh}} | [[Unified Code Count (UCC)|UCC]]
| {{Yes}}
| {{Yes}}
|
| vertical
| {{Yes}}
| {{Yes|Text, CSV}}
|- style="background: #ececec;" class="sortbottom"
! style="width:12em" | Name
! [[Graphical User Interface|GUI]]
! [[Command Line Interface|CLI]]
! Scripting
! Horizontal / Vertical
! Syntax Highlighting
! Reports
|}

==Other features==
Some other features which did not fit in previous table

{| class="wikitable sortable"
|-
! style="width:12em" | Name
! ZIP support
! FTP support
! SFTP support
! Version Control browsing
! Patch creation
! Patch application
! Patch preview
! Unicode support
! XML-aware
|-

! {{rh}} | [http://www.araxis.com/merge Araxis Merge]
|
| {{yes}}
| {{no}}
| {{yes|Browse file versions but not folders}}
|
|
|
| {{yes}}
| {{yes}}
|-


! {{rh}} | [[Beyond Compare]]
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{No|No<ref>[http://www.scootersoftware.com/support.php?zz=kb_vcs Using Beyond Compare with Version Control Systems]</ref>}}
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{Yes}}
|
|-
! {{rh}} | [[Compare++]]
|
|
|
| {{Yes|SVN, CVS, Git, Microsoft TFS, Perforce, VSS using command line}}
|
|
|
| {{Yes}}
|
|-
! {{rh}} | [[diff]]
| {{No}}
| {{No}}
| 
| {{No}}
| {{Yes}}
| {{Yes}} with patch
| {{Yes}} with patch
| {{Yes}}
| {{No}}
|-
! {{rh}} | [[diff3]]
| {{No}}
| {{No}}
|
|
|
|
|
|
| {{No}}
|-
! {{rh}} | SG DifMferge
|
|
|
| {{Yes | Git, Mercurial, SVN, Microsoft TFS, VSS 2005 }}
|
|
|
| {{Yes}}
|
|-
! {{rh}} | DiffTool
| {{Yes}} + APK
| {{No}}
| 
|
|
|
|
| {{Yes}} <ref>auto detection of ASC-II, Latin-1, CP1252, UTF-8, UTF-16LE, UTF-16BE, UTF-32LE, UTF-32BE, Unix, Windows and Mac; text of DOCX, XLSX, PPTX, ODT, ODS, ODP</ref>
|
|-
! {{rh}} | Diffuse
|
|
|
| {{Yes |Baazar, CVS, Darks Git, Mercurial, Monotone, RCS, SVN, SVK }}
|
|
|
| {{Yes}}
|
|-
! {{rh}} | [[Eclipse (software)|Eclipse]] (compare)
|
|
|
| {{Yes}} [[Concurrent Versions System|CVS]], [[Subversion]], [[Git (software)|Git]], [[Mercurial]], [[GNU_Bazaar| Baazar]]
|
|
|
| {{Yes}}
|
|-
! {{rh}} | [[Ediff]]
| {{Yes}}
| {{Yes}}
| 
| {{Yes|RCS, CVS, SVN, Mercurial, git (anything supported by Emacs' VC-mode)}}<ref>[http://www.gnu.org/software/emacs/manual/html_node/ediff/Support-for-Version-Control.html gnu.org Support-for-Version-Control]</ref>
| {{Yes}}
| {{Yes}}
| {{Yes}}
|
|
|-
! {{rh}} | [[ExamDiff Pro]]
| {{Yes}}<ref>[http://www.prestosoft.com/ps.asp?page=edp_plugins#9 through a plug-in]</ref>
| {{Yes}}<ref>[http://www.prestosoft.com/ps.asp?page=edp_plugins#10 through a plug-in]</ref>
|
|
| {{Yes|normal diff only}}
|
|
| {{Yes}}
|
|-
! {{rh}} | [[Far Manager]] (compare)
| {{No}}
| {{No}}
| 
| {{No}}
| {{No}}
| {{No}}
| {{No}}
| {{Yes}}
| {{No}}
|-
! {{rh}} | [[Microsoft File Compare|fc]]
| {{No}}
| {{No}}
|
|
| {{No}}
|
|
|
|
|-
! {{rh}} | [[Apple Developer Tools#FileMerge|FileMerge]]
| {{No}}
| {{Yes|supported by OS}}
|
|
| {{No}}
|
|
| {{No}}
| {{No}}
|-
! {{rh}} | [[Guiffy SureMerge]]
| {{Yes}}
|
|
|
| {{Yes}}
| {{Yes}}
|
| {{Yes}}<ref>UTF8, UTF16, MBCS, SJIS, over 150 file encoding and character set formats</ref>
|
|-
! {{rh}} | [[IntelliJ IDEA]] (compare)
| {{Yes}}
|
|
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{Yes}}
|
|-
! {{rh}} | [[jEdit|jEdit JDiff plugin]]
| {{Yes}}
| {{Yes}}
| 
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{Yes}}
| {{Yes}}
|
|-
! {{rh}} | KDiff3
| 
| {{Yes}}
| 
| 
|
|
|
| {{Yes}}
|
|-
! {{rh}} | [[Kompare]]
|
|
|
|
| {{Yes}}
|
|
|
|
|-
! {{rh}} | [[Lazarus (software)|Lazarus]] Diff
|
|
|
|
|
|
|
|
|
|-
! {{rh}} | [[Meld (software)|Meld]]
|
|
|
| {{Yes|[[Concurrent Versions System|CVS]], [[Subversion]], [[Git (software)|Git]], [[Mercurial]], [[GNU_Bazaar| Baazar]]}}
| {{Yes}}
|
|
| {{Yes}}
|
|-
! {{rh}} | [[Notepad++|Notepad++ (compare)]]
| {{No}}
| {{Yes|Yes<ref>[https://sourceforge.net/projects/nppftp Notepad++ FTP plugin]</ref>}}
| 
| {{Yes|Git, Subversion (compare against base)}}
| {{No}}
| {{No}}
| {{No}}
| {{Yes}}
| {{No}}
|-
! {{rh}} | [[Perforce|Perforce P4Merge]]
|
|
|
| {{No}}
|
|
|
| {{Yes}}
|
|-
! {{rh}} | [[Pretty Diff]]
| {{No}}
| {{No}}
| 
| {{No}}
| {{No}}
| {{No}}
| {{No}}
| {{Yes}}
| {{Yes}}
|-
! {{rh}} | [[Tkdiff]]
| {{No}}
| {{No}}
| 
| {{Yes|CVS, RCS, Subversion}}
| {{No}}
| {{No}}
| {{No}}
| {{No}}
| {{No}}
|-
! {{rh}} | [[Total Commander]] (compare)
| {{Yes}}
| {{Yes}}
|
|
|
|
|
|
|
|-
! {{rh}} | [[vim (text editor)#Features and improvements over vi|vimdiff]]
| {{Yes}}
| {{Yes}}
|
|
| {{Yes}}
|
|
| {{Yes}}
|
|-
! {{rh}} | WinDiff
| {{No}}
| {{No}}
|
|
| {{No}}
|
|
| {{No}}
|
|-
! {{rh}} | WinMerge
| {{Yes}}
| {{No}}
| 
